stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,42.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,156.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0
  7-9,13.49,20.5,0,4.59,0,0,0,23.77,0,0,0,0,0,10.89,0,0,0,0,0,0,0,0,0,0,0,164.14,7.75,0,0,23.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.08,0,15.65,0,4.74,0,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563.29,55,0,0,165.08,0,0,0,0,46.67,0,0,0,0,0,0,0
 14-21,0,0,0,6.6,52.53,17,0,52.35,0,0,0,3.04,2.23,0.95,0,0,0,0,0,0,0,21.18,0,0,21.12,313.1,10.93,0,2.63,1.21,0,3.24,0,67.33,10.34,4.77,86.78,98.86,0,1.77,0,0
 24-34,0,0,0,0.95,8.68,1.6,0,33.73,0,0,1.38,5.16,0,0,1.37,0,1.86,0,1.2,0,0,27.52,0,0,14.04,323.33,4.09,6.14,5.42,0,0,19.36,0,0,1.06,0,1.91,68.57,0,15.28,0,0
 36-46,0,0,0,0,3.2,3.15,0,36.37,0,0,0,20.27,0,0,0,0,0,0,0,2.01,0,20.94,0,0.55,3,170.1,0.88,1.91,1.4,0,0,4.33,0.68,0,1.81,0,0.6,52.68,0,4.52,0,0
 48-58,0,0,0,0,8.66,0,0,44.27,0.42,2.46,0.67,14.99,0,0,0.44,0,0,0,0,0,0,24.5,0,0.46,15.45,107.63,0.45,0.37,1.54,0,0,4.54,0,0,0.52,0.8,0,31.31,0,1.86,0,0
 60-70,0,0,0,0,18.19,0.61,0,31.94,0,0,7.07,22.53,2.49,0,0,0.65,0,0,0,0,0,39.75,1.43,2.71,0,112.42,0,0,1.84,0,0,16.25,0,0,0,2.04,0,25.54,0,0.75,0,0
 72-82,0,0,0.87,0,18,17.01,0,61.68,0,0,5.07,24.01,0,0,0,0,0,0,6.73,0,0,78.93,1.43,1.32,5.07,108.98,4.2,3.76,2.74,0,1.4,20.87,0,0,1.26,0,0,25.88,0.52,4.33,0.99,11.62
 84-94,0,0,0,0,14.55,15.28,0,42.31,0,4.59,0.75,46.38,1.61,0,0,1.25,0,0,3.6,0,0.67,78.14,0,1.73,6.39,114.68,0.68,1.83,9.75,0,0,43.27,0,0,0,0,0,8.16,2.14,4.21,1.57,11.86
 96-106,0,0,0,0,15.27,40.52,1.07,72.64,1.14,0,2.42,24.86,0.61,0,6.69,0.6,0.62,1.36,2.77,1.8,0.67,85.8,0,1.5,13.25,59.19,3.84,4.77,7.12,0,1.44,22.34,0,0,0,0.56,0,9.85,0,3.64,3.3,3.18
108-118,0,0,0,0,26.79,8.49,4.29,41.9,1.49,5.27,9.09,56.55,2.21,0,1.35,1.8,1.6,2.48,3.33,0.89,1.75,71.16,0,4.98,11.29,160.16,2.91,1.09,7.13,0,1.49,31.16,0,0,0.87,1.6,0,9.45,1.66,11.61,1.93,5.52
120,0,0,0,0,20.63,16.02,0,65.33,0,1.16,0,29.64,0,0,7,2.64,7.6,9.08,0,0,0,87.82,0,0,19.95,71.76,6.15,0,6.65,0,0,38.56,0,0,0,0,0,1.57,0,15.12,0,0
