stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,57.98,1015.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0
  5-6,68.98,985.56,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,9.28,15.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.55,34.01,0,0,6.82,0,0,0,0,0,0,0,0,0,272.77,5.98,0,236.43,0,7.71,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.39,0,0,386.51,0,0,0,4.48,0,3.87,0,0,0,0
 14-21,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,3.87,6.83,12.88,0,2.2,0,0,16.02,0,0.96,15.19,9.5,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,8.88,0.75,0,0,0,0,0,0,0.61,2.4,10.12,0,0,0
 36-46,0,0,0,0,0,59.52,0,0,2.99,0,0,0,0,0.75,2.42,28.11,0,0,0,0.78,0,0,0,0,0,3.65,0,0,0
 48-58,0,0,0,0,0,317.46,0,0,8.65,0,0,0,0,1.02,0,24.05,0,0,0,0.37,0,0,0,0,0,6.43,0,0,0
 60-70,0,0,0,0,0,916.98,0,0,6.27,0,1.37,0,0,0,0,21.95,0,0,0,0,0,0,0,0,0,2.24,0,1.13,0.79
 72-82,0,0,0,0,0,746.58,0,8.97,12.39,0.56,0,0,0,9.62,0,42.11,0,0,0,2.98,0,0,0,0,0,7.09,0,0,0
 84-94,0,0,0,5.83,0.69,378.86,0,2.61,14.4,0,0,0,5.22,13.06,0,40.81,0,0,0,0,0,0,0,0,0,4.87,0,0,0
 96-106,0,0,0,0,0,301.36,0,0,5.98,0,1.43,0,0,4.44,0.61,14.26,0,0,0,0,0,0,1,0,0,1.33,0,0,0
108-118,0,0,0,0,0,316.66,0.48,0,6.91,0,0,0,0,3.2,0,20.42,0,0,0,0,0,0,0,0,0,0,1.36,0,0
120,0,0,0,1.8,0,166.28,0,0,5.71,0,0,0,0,4.22,0,106.6,0,1.66,0,0,0,0,0,0,0,0,0,0,0
