stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.26,14.48,0,0,4.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.1,7.62,0,0,0,0,0,0,0,0,0,0,0,97.14,12.46,0,0,12.2,0,0,0,7.47,0,0,0,0,0,0
 14-21,0,0,0,2,29.17,0,0.82,0,0,1.24,0,4.45,0,0,0,0,0,4.22,19.62,0,0,0.87,0,16.43,0.9,1.95,0,2.29,4.86,0,0,0.99,0
 24-34,0,0,0.61,0,23.58,1.56,2.69,2.82,0.83,1.02,0,0.99,0.89,0,2.65,0,0,7.29,16.3,0,0.77,0,0,33.59,0,0,0.83,0,2.66,0,0,4.08,0
 36-46,0,0,0,0,19.44,0,0.77,0,0,0,0,0,1.83,0,6.04,0,0.77,1.5,14.07,0,3.07,0,0,37.45,0,0,0,0,7.7,0,0,13.22,0
 48-58,0,0,0,0,5.36,0,8.79,0,0,2.6,0,0,2.41,0,4.14,0,0,0.51,9.08,0,0.83,0,0,18.46,0,0,0.61,0,0,0,0,3.27,0
 60-70,0,0,0.89,0,9.18,0,3.05,0,0,1.89,11.27,0,0.7,0,1.23,0,0,0.93,2.45,0,0,0,0,14.87,0,0,0,0,1.74,0,0,2.42,0
 72-82,0,0,8.62,0,8.48,0,6.22,0,0.81,6.34,24.84,2.58,4.77,0,4.88,0,0,0.78,26.44,6.21,1.06,0,0,12.06,0,0,0,0,0,0.6,0,14.06,0
 84-94,0,0,13.66,0,61.47,1.15,1.44,3.11,0,0,15.83,16.1,14.4,0,8.13,0,0,1.04,4.42,0,0.78,0,0,57.82,0,0,1.4,0,0,2.31,0,0.61,0
 96-106,0,0,11.78,1.07,69.26,0,12.65,1.85,0,9.06,66.57,13.48,14.06,0,5.66,0.71,0.73,0,6.6,0,5.79,0,0,14.29,1.35,0,0,0,0,4.4,0,0.92,1.61
108-118,0,0,11.02,0.97,98.03,0,2.37,6.31,0,3.73,67.57,20.18,22.6,0,9.4,0,0,0,17.38,0,1.83,0.43,0,26.84,0,0,0,0,0,8.57,1.91,1.82,0
120,0,0,0,0,131.36,0,0,1.35,0,2.69,49.46,4.19,8.17,2.32,6.47,2.14,9.54,0,6.02,0,3.98,0,0,40.31,0,0,0,0,0,3.82,0,4.33,0
