stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.58,106.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,18.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0
  7-9,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,7.68,0.75,0,0,8.97,1.06,13.22,23.98,0.99,0,0.61,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,27.67,2.93,32.08,24.33,1.09,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.49,0,0,0,0,0.38,0,0,0,0,0,1.74,0,13.48,3.05,25.14,9.13,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0.56,0,0,0,11.06,0,23.47,3.26,61.82,3.16,0,0,0,0,0
 72-82,0,0,0,0,0.59,0,0,2.58,0,0,0.56,0,0,0,1.26,0,7.04,0.73,7.63,0.53,11.45,6.05,52.82,2.09,0,10.8,0,0,0
 84-94,0,0,0,0,3.76,0,3.04,7.74,0,3.31,0,0,5.83,0,6.55,2.09,0,0.62,13.36,0,8.42,18.98,257.88,7.08,0,17.3,0,1.55,0
 96-106,0,0,1.04,2.67,1.31,0,0,18.42,0.58,0.57,0,0,6.31,0.59,11.79,0,27.76,2.78,32.96,0,44.14,11.24,229.34,6.11,0,17.4,0,0,0
108-118,0,0,0,4.46,8.02,1.09,0,4.25,0,4.57,0,3.44,21.3,0.8,9.75,0,6.87,2.18,22.49,0.45,41.87,10.75,268.02,6.64,0,34.73,0,0,0
120,0,0,0,6.35,24.48,0,0,8.9,0,4.57,0,0,9.67,0,9.93,0,0,6.2,7.82,0,18.76,11.41,84.28,5.81,0,21.87,0,0,4.37
