stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,36.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,50.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.45,0,0,0,0,17.78,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,0,0,0,8.67,0,0,0,0,0,0,0
 10-12,0,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.59,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0.92,0,0,4.22
 24-34,0,0,0,0.6,0,0,9.08,0,0,0,5.54,1.89,1.57,0,0,3.35,0.78,0,0,0,47.18,0,2.13,0,0,14.58,0,0,2.52,0,1.33,9.06
 36-46,0,0,0,0.95,0,0,4.53,0,0,0,6.63,6.69,0,0,0,20.33,1.88,2.74,0,0,70.95,0,3.38,0,0,0,0,0,4.83,0,0,2.03
 48-58,0,0,0,4.86,0,0,5.74,0,3.52,0,6.89,38.37,0,0,0,14.78,0.83,4.18,0,0,61.41,0.94,4.8,0.4,0,0,0,0,2.19,0,0,4.7
 60-70,0,0,0.62,9.71,0,0,11.7,0,0,0,15.47,96.31,0,0,0,1.94,0.72,8.55,0,0,80.65,0,2.41,0,0,0,0,0,2.51,0,0,5.52
 72-82,0,0,0,12.46,0,0,36.98,0,0.93,2.02,10.65,224.97,0,0,0,5.95,4.89,5.3,0,0,101.02,0,3.31,1.06,0,0,0,0,3.31,0,0.82,0
 84-94,0,0,0,33.25,0,0,31.33,0,1.87,7.76,20.04,352.44,0,0,1.09,18.53,7.09,4.51,0,0,93.73,0,6.13,0,0,0,0,9.21,3.89,0,3,0
 96-106,0,0,0,59.47,1.29,0,36.13,0,6.49,128.9,26.83,618.2,0,0,2.16,4.75,11.39,14.08,0,1.28,125.69,0,6.89,0.6,0,5.45,0,0,1.03,0,0,15.04
108-118,0,0,3.68,85.64,0.73,0,51.3,2.99,6.21,192.93,21.26,556.3,0,5.86,3.13,9.85,11.22,15.66,1.28,1.93,202.89,0,3.87,4.18,0,7.42,0.56,0,4.55,1.23,11.58,0.69
120,0,0,0,68.46,0,1.8,24.26,0,17.91,105.76,17.49,341.67,0,2.64,4.14,1.61,21.01,15.02,0,0,254.52,0,2.31,0,0,7.63,0,0,12.75,0,3.44,0
