stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,47.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.8,0,0,0,0,0,0,0,0,0
  5-6,24.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.93,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,139.74,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.04,0.85,0,3.66,0,83.57,1.4,0,0,0,4.73,0,0,0,0
 24-34,0,0,0,199.49,0,1.83,8.8,0,0,0.67,0,0,0,0,0,0,0,6.08,4.75,0,13.06,70.64,0,20.48,9.49,0,551.94,0,0,0,0.61,7.68,0,0,1.49,0
 36-46,0,0,0,186.84,0,1.24,12.92,0,3.18,0.67,0,0,0,0,0.84,0,2.18,16.23,1.4,0,0,92.24,0,7.83,7.94,0,718.65,0,0,0,0,8.77,0,0,0,0
 48-58,0,0,0,141.34,0.41,17.54,28.83,1.48,6.16,0.98,0,0,0,2.21,0,0,0,23.06,1.23,0,0,97.11,0,5.31,4.82,0,396.2,0,0,0,0,11.83,0,0,0,0.54
 60-70,0,0,0,166.11,0,29.55,26.83,0,16.45,0,0,0,0,7.43,0.67,0,0,50.19,4.22,0.88,0.96,100.45,0,2.51,3.55,0,372.08,0,0,0,0,4.09,2.76,0.71,0.93,0
 72-82,0,1.09,0,138.85,0,41.14,22.91,0,10.71,0.51,0,0,3.48,0,0.51,0,0,79.36,4.54,0.74,0,110.74,0,0,7.89,0,207.02,0,0.64,0,0,4.63,1.78,0,0.6,8.31
 84-94,0,0,0,317.47,5.36,14.49,52.31,1.59,21.2,0.89,0,0,5.97,0,0,0,0,73.94,7.21,0,1.26,149.09,0,4.65,0.61,0,773.25,0,0,0,0,4.15,9.21,0,0,0
 96-106,0,2.28,0,269.19,1.85,27.16,36.15,0,65.93,8.72,0,1.47,3.8,0.98,1.11,13.22,0,52.67,13.59,1.82,0,75.81,0,6.56,2.02,0,480.26,0,0.67,0.68,0,0,7.34,0,0,1.19
108-118,0,0,0,363.78,0,1.71,79.85,0,49.12,15.31,0,0,7.86,1.59,0,0,0,61.69,5.44,0,0.75,91.93,0,2.42,4.52,2.35,320.79,0,1.06,0,0,0.42,5.93,0.88,0,0.92
120,0,0,0,328.4,0,0,66.06,0,56.36,13.66,0,14.06,1.76,0,0,0,0,82.24,7.42,9.27,0,100.13,0,2.97,1.4,0,299.21,0,0,0,0,0,9.4,0,0,0
