stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,10.58,48.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0
  5-6,0,195.97,0,0,0,0,0,0,0,0,0,13.52,0,0,0,0,9.07,0,0,0,0
  7-9,6.6,42.91,13.08,0,0,0,0,0,0,0,0,457.94,7.15,0,0,171.25,0,0,0,0,0
 10-12,0,8.61,28.08,0,15.49,0,0,0,0,0,0,414,0,0,0,114.12,3.3,0,6.54,0,0
 14-21,0,0,0,0,2.15,1.73,0.82,0,0,0,0.84,21.55,0,0,0,0,0,0,3.2,3.92,0
 24-34,0,0,0,0,2.78,0.64,0,0,0,0,0,62.2,0,1.29,0,0,1.53,0,0,13.88,0
 36-46,0,0,0,0,14.48,0.85,0,0,0.79,0,0,41.2,0,0.76,0,0,0,0,0,22.01,0
 48-58,0,0,0,0,6.53,0.7,0,0,0,0,0,32.07,0,0,1.16,0,8.84,0,0,8.31,0
 60-70,0,0,0,0,2.52,0.62,0,0,0,0,0,48.46,0,15.79,0,0,4.06,0,0,4,0
 72-82,0,0,0,0.88,18.84,0.84,0.51,0,0,0,0,26.78,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,8.19,0,0,0,0,0,0,11.62,0,56.79,0,0,0,0.56,0,0,0
 96-106,0,0,0,0,0,0,0,3.99,0,1.52,0,6.8,0,13.72,0,0,0,0,0,0,0
108-118,0,0,0,0,1.34,1.81,0,0,0,0,0,8.25,0,21.25,0,0,0,0,0,0,0.84
120,0,0,0,0,0,0,0,0,0,0,2.85,5.19,0,47.72,0,0,0,0,0,0,0
