stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vasculature
  3-4,19.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.56,0,0,0,0,0
  5-6,15.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.18,0,0,0,0,0
  7-9,0,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,51.03,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,146.66,4.29,0,0,6.59,0,0,0,0,0
 14-21,0,0,20.1,0,0,0,0,0,1,1.35,0,72.41,0,0,0,3.34,0,1.52,2.18,0,2.49,0,2.23,0,0,0,0,0
 24-34,0,0.75,2.6,0,0,0,0,0,2.73,6.13,0,158.64,0,0,1.44,43.43,0,0,58.1,0,56.38,0,2.39,0,1.73,0,0,0
 36-46,0,0,0,0,0.82,0.62,0,0,1.07,8.92,0,50.47,0,0,0.69,61.59,0,0,56.36,0,36.3,0,6.5,0,0,2.19,0,0
 48-58,0,0,1.9,0,1.41,0,0,3.49,1.96,22.77,0,72.1,0,2.65,1.14,51.93,0,0,32.07,0.51,22.12,0,0,0,0,0.98,0,0
 60-70,0,0,14.53,0,3.59,5.38,0,0.98,2.83,15.07,0,46.45,3.39,0,11.61,39.91,0,0,20.75,0,16.68,0,0,0,0,0.67,0,0
 72-82,0,8.37,15,4.13,21.69,0.81,0,2.37,13.72,9.53,7.8,74.45,4.18,5.12,2.99,119.99,0,0,40.91,0,43.14,2.92,1.16,0,0,2.52,6.35,0
 84-94,0,9.15,12.93,0,1.66,1.2,0,0.68,50.71,12.13,1.96,63.2,0,14.6,0,86.75,0,0,41.24,0,30.95,0,0.65,1.4,0,0,9.23,0.63
 96-106,0,5.24,29.3,1.6,1.75,0.61,0.89,5.19,55.35,3.7,8.66,103.63,9.39,45.13,5.68,144.4,0.59,0,53.13,0,62.72,10.37,6.12,0,0,4.18,20.67,0.83
108-118,0,6.3,26.8,3.52,9.98,0.72,0,1.08,82.87,0,15.47,116.3,3.94,34.44,3.23,120.23,0,0.49,40.74,0,22.09,0.47,5.09,0,2.63,0,18.07,1.28
120,0,0,12.18,0,0,0,0,7.06,53.25,0,21.07,30.37,9.83,24.11,17.1,54.26,0,0,11.93,0,26.04,1.86,6.04,0,0,0,20.64,0
