stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.58,562.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.76,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.24,1551.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.64,11.17,0,0,17.88,0,121.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,41.34,22.56,38.78,0,0,0,47.28,0,0,0,0,0,20.22,0,0,0,0,0,0,0,0,0,0,0,972.68,55.52,0,0,276.3,0,17.52,18.27,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.09,145.28,0,10.82,0,113.19,0,0,0,0,0,42.33,0,0,0,0,0,0,0,0,0,0,0,828.65,56.93,0,0,318.99,0,8.29,0,6.12,20.62,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,17.32,4.19,0,2.26,0,0,0,1.08,1.65,0,0.85,0,0,0,0,0,0,10.3,0,0,8.89,52.03,4.29,0,1.2,6.64,0,4.6,0,19.05,0,0,15.82,33.6,0,0,0.98,0,0
 24-34,0,0,0.59,6.53,0,0,12.14,0,1.29,0.9,0,0.82,0,0,0.9,0,0,0.66,1.33,90.22,20.61,0.68,0,10.71,104.15,3.43,0,0.67,0,0,16.59,0,0,0,0,0.73,28.83,0,0,9.69,0,0
 36-46,0,0,0,3.44,0.6,0,43.76,0,14.06,0.75,14.98,0,0,0.83,13.16,0,0,0,0,351.68,23.44,0,0.85,3.61,105.68,1.9,4.78,0,0,0.77,22.11,0,0,2.28,0,0,47.1,0,0.62,5.68,0.78,0
 48-58,0,0,0,3.62,0.48,0,76.95,2.16,2.6,1.69,24.19,1.42,0,0,7.03,0,3.92,0,0,451.91,42.29,0,0.58,8.83,144.5,1.95,1.13,6.21,0,0,14.82,0,0,0,0,0,45.35,0,0,5.43,0,2.84
 60-70,0,0,0,5.76,0,0,131.13,1.28,7.11,1.47,39.14,0.95,0,0,1.17,0,20.71,2.34,0,220.43,49.52,0.65,12.14,5.43,80.12,1.46,0,0,0,0,19.86,0,0,0.68,0,0,21.53,0,0.8,15.4,1.92,7.48
 72-82,0,0,0,9.65,0.51,0,62.89,0,0.62,1.29,32.65,1.39,0,0.8,12.21,1.8,14.71,1.33,0,99.03,78.46,0,2.42,11.88,121.26,0,2.18,1.29,0,0,25,0,0,0,0,0,28.17,0.94,0.52,15.57,0.73,0
 84-94,0,0,0,10.67,9.14,0,45.06,0,0.84,9.57,15.11,2.71,0,0,15.88,1.3,11.06,0,0.57,184.15,69.24,1.74,6.29,2.96,87.15,1.42,0,1.68,0,0,61.66,0,0,0.67,0.59,0,29.04,0,1.42,8.42,0,0
 96-106,0,0,0,13.22,3.62,1.16,38.79,0,2.63,2.2,40.39,3.94,0,1.16,10.55,0.73,22.72,1.28,2.26,87.85,64.07,0,0,8.71,59.36,0,3.45,1.73,0,0,65.7,0,0,0.61,0,0,7.71,0.67,1.8,6.32,1.67,3.98
108-118,0,0,0,19.73,28.12,0.74,59.99,0.46,0.52,4.48,45.18,3.5,0,0.8,16.24,3.21,38.38,1.45,16.5,106.84,52.16,1.18,3.56,7.92,103.02,0.69,1.44,2.09,0,1.8,49.89,0,0,0.5,0.41,0,1.69,0,0,7.65,3.33,8.79
120,0,0,0,13.08,1.23,1.71,84.41,5.3,0,0,35.07,12.29,0,4.12,20.17,0,18.41,0,3.38,58.1,58.89,0,0,7.15,99.3,0,1.11,0,0,0,25.4,0,0,1.2,0,0,1.34,6.74,0,3.07,0,0
