stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,9.9,3.29,0,0,0,0
 14-21,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0
 24-34,0,0,4.06,0,0.92,0,0,0.64,0.73,0,0,0,0,0.62,23.48,0,0,0,6.53,0,1.61,0,0
 36-46,0,0,1.17,0,0.93,0,0,0.6,0,0,0,0,0,0,31.12,0,0,0,2.09,0,11.09,0,0
 48-58,0,0,0,0,5.29,0,0,1.89,0,0,0,7.53,2.66,0.52,74.09,0,0,0,0,0,11.07,0,0
 60-70,0,0,12.36,0,26.33,0,0,0,0,0,1.16,0,0,0,61.5,0.73,0.69,0,0,0,3.92,1.92,0
 72-82,0,0,0.82,0,38.74,0,0,0,1.01,0,0,0,0,0,64.99,2.94,0,0,1.89,0.64,10.58,3.19,0
 84-94,0,1.46,1.92,0,10.81,0,0,0.99,0,0,0,0,0.61,0,24.46,0,0,0,5.13,0,4.5,1.73,0
 96-106,0,0.63,2.47,0,19.8,0,0.89,7.49,0,0.85,1.08,0,0,0,24.87,0,0,0,2.44,0,0,0,0.68
108-118,0,0,5.87,0,9.27,0.42,0,4.13,0,0,0,0,0.68,0,16.1,0,0,0,0,0.45,0,0,0
120,0,0,4.81,0,24.44,0,0,10.67,0,0,0,0,0,0,26.65,0,0,0,1.93,0,3.82,0,0
