stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,5.6,0,0,0,0,0
 24-34,0,0.6,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,57.91,1.36,0,0,0,0,69.31,0,0,0,0,0
 36-46,0,0,0,1.45,0,0,0,0,0,0,0,0,0,8.46,0,0,113.06,0,0,0,0,0.7,150.47,0,0,0,0,0
 48-58,0,0,0,8.51,0,0,0,2.15,0,0,0,0,0,0,0,1.03,149.41,0,0,0,0,2.52,95.84,0,0,0,0,0.63
 60-70,0,5.73,0,74.63,2.26,0,0,1.83,0,0,0,0,0,4.44,0,6.96,159.66,0,0.56,0,0,0,82.25,0,0,0,0,0
 72-82,0.78,0,0,190.26,0,0,1.17,12.77,0.82,0,0,0,0,4.72,6.94,0,253.34,1.03,0,0,0,0,73.81,0,0,0,0,0
 84-94,0,0.87,0,252.92,0,0,0,8,0,0,0.64,1.17,0,0,2.14,1.67,223.69,0,2.01,1.75,0,0,39.85,0,1.91,0.61,3.73,0
 96-106,0,0,1.05,289.67,1.45,0.84,0,14.21,2.88,1.22,0,0.82,4.97,3.64,0,0.61,157.68,0,4.79,0.83,1.25,0,15.16,0.79,0,0,2.65,0
108-118,0,4.92,0,265.92,0,0,0,37.13,0,0,0.74,0.49,0,7.29,0,1.14,171.51,1.6,3.71,0,0,0.46,19.37,3.42,4.78,0.71,1.09,0
120,0,0,0,163.22,6.68,1.45,0,46.59,0,0,0,0,0,6.06,0,0,231.84,0,1.47,0,0,0,38.14,0,6.22,0,15.92,8.94
