stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
  5-6,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,0,0,0,6.28,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.04,17.32,1.41,0,0,0,0,0,1.08,0,0,0,0,0,0,0,1.95,0,0,0.97,6.12,0,0,1.75,1.46,0,0,1.18,0,0.81,8.2,0,0,0,0,0
 24-34,0,1.59,4.03,0,0,0,1.88,0,0,0,0,0,0,1.05,0,0,0,3.57,0,0,1.55,9.09,0.7,0.64,0.68,0,0,1.86,0,0,0,2.52,0,0,3.29,0,0
 36-46,0,0,1.37,0,0,0,11.19,0,0,0,0,0,0,0,0,0,0,3.25,0,1.72,2.22,10.95,0,0.75,3.09,0,0,5.09,0,0,0,0,0,0,5.19,0,0
 48-58,0,0,10.78,0,0,1.42,4.75,0,2.3,0,1.23,0,0,0,0.41,0,0,4.4,0,0,3.39,14.25,0,0,1.49,0,0,1.59,0,0,0,0.69,0,0,0,0,0
 60-70,0,0,12.89,0,0,2.42,1.33,0,1.88,0,0,0,0,0,0,0,0.93,4.49,0.67,0.59,0.81,19.88,0,0,0.72,0,0,6.42,0,0,0,0,0,0.57,0,0,0.79
 72-82,0,0,3.18,0,0,1.83,2.04,3.85,7.44,0,0,0,0,0,0,0,0,6.57,0,0,3.75,7.35,0,0,1.38,0,0,1.18,0,0,0,0,0,0,0.5,0.71,0
 84-94,0,0,8.85,0,0,2.79,1.78,2.45,0.66,0.96,1.27,0,0.6,0.75,1.52,0,3.35,20.24,0.89,0,14.06,19.83,0,0.9,6.72,0,2.85,4.04,0,0,0,1.08,0,0,0,1.7,0
 96-106,0,0,8.39,0,0,0,0,4.67,4.33,9.42,0,2.09,0,3.05,0,0.62,0,12.74,0,0,1.38,26.19,0,0.81,3.04,0,0,4.5,0,0.6,0,0,0,0,0,0.68,3.81
108-118,0,0,12.55,0,3.16,3.09,5.65,0.84,7.23,1.34,0,0.65,0,3.17,3.06,0.42,0,24.55,0,0.94,0.95,9.96,2.18,0,2.52,0,2.83,5.01,0.54,0.67,0,0,0.89,1.35,1.02,0,0
120,0,1.28,7.34,0,0,0,0,0,16.13,1.66,0,0,0,0,7.7,1,0,12.42,0,0,11.2,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
