stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,taste
  5-6,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.36,3.78,0,0,4.51,0
 24-34,0,0,0,0,0,0,0,0,0.79,0.86,0.87,0,0.78,0,33.15,1.24,0
 36-46,0,0,0,0,0,1.4,0,0,0.72,0.73,0,0,0.87,2.21,122.91,0,0
 48-58,0,0,0,7.54,0,1,0,0,0.56,0,0,0,3.22,1.38,51.24,0.37,0
 60-70,0,5.41,1.86,6.14,1.25,0.9,0,1.37,0,0,2.02,0,3.74,0,73.19,0,0
 72-82,0,0,0,13.95,0,0.49,0,1.6,1,1.54,0,0,7.26,0.49,36.85,1.59,3.4
 84-94,0,2.47,0,1.15,0.58,1.1,0,5.61,0,0,2.08,0,1.05,2.59,144.28,0,0
 96-106,0,8.3,0.9,9.18,1.87,1.8,0,7,4.91,0,6.99,0,18.97,5.38,223.57,0.95,0
108-118,0,7.01,0,0,0.43,0,0,4.71,1.69,2.13,0.77,0,2.75,3.11,85.58,0,0
120,0,4.59,0,0,0,0,1.26,7.36,0,0,0,0,12.24,2.97,140.1,0,3.15
