stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.45,93.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,0,0,12.75,0,0,0,19.71,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,169.59,13.79,0,0,65.86,0,5.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.76,0,0,0,23.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.02,13.93,0,0,40.7,0,0,3.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,11.33,1.06,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,4.84,0,0,2.16,30.96,2.57,0,0,0.82,0,0.99,0.9,3.35,1,1.46,4.95,8.05,0,0,0,0
 24-34,0,0,0.67,0,8.56,0,0,7.38,0,3.01,0,2.32,0,0,0,0,0.63,0,0,1.75,4.62,0,0,2.18,39.99,0,0,0,0,0,26.99,0,0,0,0,2.52,10.57,0,0,3.82,0
 36-46,0,0,0,0,1.92,0,0,6.34,0,0.79,0,0,0,0,0,1.06,0,0,0,0,7.6,2.15,0,3.82,24.32,0.59,2.06,0.57,0,0,5.5,0,0,3.97,0,0,6.81,0,1.37,1.03,0
 48-58,0,0,0,0,2.3,0,0,5.24,0,2.38,0.76,1.04,0,0,0.45,0,0,0.38,0,4.68,12.03,0.39,0,0.84,10.14,0,0.52,0.38,0,0.61,10.85,0,0,0,0.45,0,4.2,0,0,0.86,0
 60-70,0,0,0.89,0,6.9,0,0,7.26,0,0,0,1.65,0,1.21,0,0,0,0,0,0,20.5,0,4.4,6.02,17.23,0,0,0,0,2.4,9.71,0,0,0,0,0,0,0,3.84,3.74,0.96
 72-82,0,0,1.5,0,2.9,0,0,1.49,0,2.82,0.75,5.85,1.37,0,0.93,6.85,0,0,0,0,11.3,0,0,0.49,12.01,2.92,1.49,0.91,0,0,6.91,0,0,0.76,0,0,0,0,3.87,1.61,0
 84-94,0,0,0,0,2.4,5.78,0,10.95,0,4.6,0,5.33,4.74,0,1.31,6.18,1.94,0.62,0,0,8.42,0,0,2.04,9.35,0,0,1,0,0,20.36,0,0,0.57,0,0,0,1.86,0,1.17,0
 96-106,0,0,0.94,0,8.07,2.26,0,8.86,0,0.71,0.57,3.18,1.74,0,0,5.35,0,0,1.72,0.68,8.25,0,0,0,2.87,0,3.04,0.6,0,0,22.57,0,0,0,0,0,0,0,0,10.97,1.13
108-118,0,0,0,0,6.1,0,1.15,0.48,0,0.48,0.88,1.77,1.48,0,0,1.92,0.52,0,2.4,9.28,9.58,1,3.67,0,7.64,0,0,0,0,1.22,6.28,0,0,1.31,0,0,0,0.99,1.3,3.13,7.8
120,0,0,0,0,1.06,0,0,4.36,5.69,2.43,8.35,6.37,2.28,0,0,13.91,0,0,0,0,4.28,0,0,0,4.64,0,0,0,0,0,10.09,0,0,0,0,0,0,6.92,0,0,4.96
