stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,0,0,0,4.92,0,0,0,0,0,0,0,0,0
 10-12,0,5.19,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,20.04,4.6,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.96,0,0.98,0,0,0,1.13,0,0,0,0,5.66,0,0,0,20.34,0.88,0,0,1.84,0,0,2.77,0,0,7.9,0,0,0
 24-34,0,0,0,0,13.72,0,3.71,0.74,0,0,0,0,0,0,0,0,0.61,235.89,0,0,0,0,0,0,0,0,0.93,38.98,0,0,0
 36-46,0,0,0,0,1,0,0,0,4.29,0,0,0,0,1.32,0,0,4.07,458.49,0,0,0,0,0,2.41,0,0,0,42.42,0,0,0
 48-58,0.68,0,0,0,19.62,0.67,6.72,0,11.91,0,0,0,0,1.47,0,0,0.46,709.89,0,0.88,0,0,0,2.15,0,0,0,72.66,0,0,3.34
 60-70,0,0,1.08,0,124.94,0,0.69,0,6.92,0,0,0,0,2.35,0,6.48,0,892.11,0,2.22,6.8,0,0,0,0,0,0,53.93,0,0,0
 72-82,0,0,2.37,6.43,142.21,0,0,3.1,22.28,0.64,0,0.88,0,3.96,0,0,0,819.25,0,0,0,0,0,0,0,1.5,0,39.83,0,1.51,6.76
 84-94,0,0,1.12,0,120.07,0,0,0,4.24,0,2.13,0.69,0,3.77,0,0,0,473.23,0,0.7,8.09,0,0,0.55,0,0,0,27.79,0,0,0
 96-106,0,0,13.62,0,100.8,0,0,0,1.19,0,0.73,2.39,4.68,8.07,3.31,0,0,400.55,0,1.51,0,0,0,0.71,0,0,0,22.28,3.17,0,2.49
108-118,0,0,2.58,0,112.32,0,0,0,9.22,0,1.5,0,0,4.44,0,0,0,429.1,0,0,0.78,0,0.91,0,0,0,0,17.52,0,1.13,1.42
120,0,0,0,0,193.02,0,0,0,9.79,0,0,0,0,16.38,0,0,0,666.25,0,3.86,0,0,0,1.73,0,0,0,32.66,4.31,0,0
