stage,eye,glial,neural,olfactory,pronephros
 14-21,0,0,1.19,0,1.73
 48-58,0,0,1.39,0,0
 72-82,0,0.97,2.61,0,0
 84-94,0.87,0,3.15,0.81,0
 96-106,0,0,4.94,0.9,0
108-118,0,0,4.31,0,0
120,0,1.59,0,0,0
