stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,7.63,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,3.76,0,0,0,0,0
 14-21,0,0,0,0.9,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,1.3,0,0
 24-34,0,0,0,0,0,0,0,10.74,0,0,0,0,0,19.66,0,0,0,0,0,0,1.39,0,0
 36-46,0,0,0,0,0,0.93,0,36.61,0,0.79,0,0,0,66.62,0,0,0,0,0,0,20,0,0
 48-58,0,0,0,0,0,5.19,0,132.32,0,0,0,5.18,0,98.83,0,0,1.22,0,0,0,27.37,0.62,0
 60-70,0,0,0,5.42,0,24.41,1.48,291.65,1.59,0,0,5.52,0.67,249.93,0,0,0,0,0,0,26.89,0,0
 72-82,0,0,0.93,1.44,0,31.36,0,177.6,0,0,0,1.32,1.42,190.98,0,0,0,0,0.7,0,6.09,0,0
 84-94,0,0,0,0,0,51.91,0,107.96,0,0,0.91,2.12,0,118.75,0,0,0,0,0,0,1.95,1.35,2.61
 96-106,0,0,0,1,2.41,11.68,0,91,0,0,0,0,0,99.92,0,0,0,0,0,0,9.22,0,0
108-118,0,0,0,0,0,36.65,0,132.98,0,0,0,2.6,0,121.4,0,0.52,0,0,0,0,0,0,0
120,0,0,0,11.44,0,43.7,0,618.76,0,0,0,18.56,3.01,359.32,4.5,0,0,0,0,0,0,0,0
