stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.83,17.03,2.56,0,4.52,0,0,7.12,0,0,0,0,0,0,0,6.31,0,0.83,99.53,0.94,0,0.96,5.37,11.38,0.89,6.87,32.86,0,0,0,0
 24-34,0,4.62,0.69,0,44.6,1.27,0,6.5,0,1.45,0,0,0,0,0,32,0,10.92,558.04,0,5.44,3.3,4.53,0,0.81,4.21,97.33,0,11.13,0,2.31
 36-46,0,13.04,6.85,0,189.86,0,0.61,8.36,2.36,0,0,0,0,0,0,33.84,0,9.25,411.07,0,0.6,1.66,2.97,0,0,0,87.44,0,14.59,0,0
 48-58,0,1.02,2.79,0,175.59,0,0.45,4.37,0,0,0,3.71,7.49,1.05,0,13.56,0.97,9.41,252.71,0,1.76,0,0,0,0,0,16.43,0,0.43,0,0.84
 60-70,0,5.8,0,0,184.4,1.25,0,21.77,0.9,0.66,2.96,0,0,0,2.6,54.21,0,5.73,117.69,1.64,0,0,3.28,0,0,0,0,0,0,1.79,0
 72-82,0,2.66,0.59,0,28,0,0,8.34,0,0,0,0,0,0,0,15.15,2.8,1.41,45.74,0,0,0,0,0,0,0,1.49,0,1.13,0,0
 84-94,0,4.29,2.71,0,42.93,0,0,3.51,4.7,0,0,0,0,0,0,25.25,2.96,3.1,39.34,0,0,0,2.37,0,1.35,0,0,1.72,9.94,0,0
 96-106,0,2.67,0,0.8,26.42,0,0,3.6,0,0,1.37,0,0,0.75,0,4.95,1.41,0,21.54,0,0,0,1.12,0,0,0,4.21,0,0.71,0,0
108-118,0,3.29,5.55,0,18.5,0,0,7.11,0,0,1.76,0,0,1.42,1.5,5.57,0,0.42,42.38,0,0,0.51,0,0,0,0,0,0,2.42,0,0
120,0,11.54,5.62,0,70.49,0,1.04,2.18,3.28,0,3.02,1.1,1.18,0,0,14.19,0,3.08,160.14,0,0,0,1.37,0,0,0,0,0,8.8,0,0
