stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,7.01,38.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.04,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0,41.51,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,51.15,0,0,0,0.96,0,0,0,0.96,0,0,0,13.72,0,0,0,0.84,10.71,0,0,0,0,0,0,1.58,0,0,4.54,0,0,0,0
 24-34,0,0,0,0.65,1.27,337.61,0,0,0.63,1.69,0,0,0,0,0,0,0,405.84,0.6,0,0,1.55,31.83,0,0,0,0,1.79,0,0,0,0,11.44,0,0,0,0
 36-46,0,0,0,2.71,0,233.35,1.4,0,0.91,0,0,0,0,0,0,0.77,7.13,827.4,9.1,1.19,0,0.59,35.02,0,0,0,0,0,0,0,0,0,12.17,0,0,0.58,10.06
 48-58,0,0,0,2.59,0,272.96,0,0.77,0.64,0,0,0.77,1.05,0.61,16.04,0.45,4.01,569.82,4.93,0,1.15,0.73,63.08,0,0,0,0,0.88,0,0,0,1.16,19.77,0,0,0,0.49
 60-70,0,0,0,9.23,0,293.42,11.21,11.2,3.92,0,0,0,5.12,0,2.19,0,0,299.43,4.58,0,0,0.82,60.55,0,0.71,0,0,1.29,0,0,0,0,11.06,0,0,0,0
 72-82,0,0,0,0,0.84,231.79,0,3.22,0,0,0,0,0.49,0,2.68,0,5.52,309.03,24.58,0,0,1.3,79.66,0,7.22,0,2.63,0.95,1.65,0,0,0,5.27,0,0,4.76,0.55
 84-94,0,0,0,2.96,10.47,437.69,0.58,0,10.03,0,0,0,0,0,4.22,0,9.21,484.77,10.21,0.92,0.65,1.49,22.13,0,3.55,0,0,6.19,0,0,0,0,2.15,0,1.6,8.19,0
 96-106,0,0,0,0.86,3.33,332.21,0,0,2.37,0,0,0,2.05,0.91,5.12,0,0.7,240.36,8.08,0,3.59,0.79,31.93,0,1.56,0,0,4.51,0,0,0,0,0,1.08,0,1.82,0
108-118,0,0,0,2.01,3.08,313.45,0.43,0,4.9,1.03,0,0,0,0.43,5.31,0,0,368.05,8.89,0,0,0.76,40.87,0.51,2.27,0,0,3.79,0,0,1.48,0,0,0,0,2.45,1.18
120,0,0,0,0,2.42,144.64,0,5.31,0,2.93,5.2,0,8.93,0,1.58,0,0,163.62,5.32,1.31,0,0,25.71,0,2.63,0,0,1.7,0,0,2.05,0,0,1.99,0,0,0
