stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.96,63.04,74.64,14.83,0,0,0,0,2.2,15.62,0,0,0,0,31.24,0,22.38,0,0,24.57,55.51,2.12,0,0,1.91,2.3,0,6.43,7.96,0.86,21.88,82.93,0,0,0,0
 24-34,1.46,11.62,16.85,1.27,0,14.13,0,0,0,9.01,1.22,0.86,0,0,16.36,0,34.32,0,0,9.81,114.38,0,1.45,1.65,0,6.54,0,0,0,0,0.62,23.91,0,6.13,0,0
 36-46,0.73,0.96,1.15,0,0,16.22,0,0,5.17,0,0.69,0,0,0,11.62,0,13.75,0,0,0,101.19,0.64,1.78,0,0,10.34,0,0,0.63,0,0,10.58,0,1.51,0,0
 48-58,0,0,2.25,0,0,30.15,0,1.61,5.07,1.13,0,0,0.38,0,0,0.48,4.97,0,0.75,0.81,101.82,0,0,0,0,6.21,0,0,0,0,0,29.06,0,0,0,0
 60-70,0,0,4.95,0,0,33.68,4.01,0,5.47,0,1.5,0,0,0,4.47,1.05,20.19,0,0,0,46.41,0,0,0,0,11.41,0,0,0,0,0,2.22,0,0,0.64,0
 72-82,0,0,3.21,2.04,0,24.68,0,0,3.03,0.72,0,0,0,8.04,0,0,10.99,0,0,1.96,74.21,0,0,1.73,0,5.24,0,0,0,0,0,11.49,0,4.24,0,0.89
 84-94,0,0,5.85,0,0,9.86,1.2,0,7.11,1.51,0.82,0,0.75,0,0,0,12.93,0,0,0,49.08,0,0,2.5,0,22.55,1.4,0,0,0,0,0.69,0,5.19,0.77,0
 96-106,0,0,13.21,0,0,8.64,0,0,12,3.89,0,0,0,0,0,0,18.62,1.34,0,0,54.53,0,0.59,2.72,0,20.01,0,0,0,0,0,1.73,0.99,0,1.26,0
108-118,0,0,11.97,0,3.05,11.74,4.48,0,0,3.63,0,0,3.63,0,0,0,18.12,0.6,0,0.88,50.5,0,0.41,0,0,3.41,0,0,0,0,0,8,0.45,0,1.57,0
120,0,0,61.55,2.1,0,31.03,7.9,0,2.7,17.24,0,1.06,0,0,3.5,0,5.06,0,0,4.22,100.56,0,0,0,0,29.39,0,0,0,0,0,0,0,0,0,0
