stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,121.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,89.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.87,16.64,0,0,50.7,0,0,0,0,0,0,0,0,0,0,0,335.13,43.55,0,0,236.11,0,0,0,0,0,0,0,0,0
 10-12,0,23.58,9.89,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,312.09,18.18,0,0,163.86,0,0,11.92,0,44.92,0,3.28,0,0
 14-21,0,0,1.87,7.42,9.29,15.94,0,0,0,0.99,3.25,0,0,0,0,4.53,4.88,184,2.63,1.03,1.07,12.53,0,0,0,27.57,9.63,33.67,50.18,0,0
 24-34,0,0,2.07,4.77,0.67,72.22,0,0,0,5.41,0,0,0.66,2.69,0,26.75,22.77,407.17,1.24,0.95,1.16,0,0,0,0,0,1.58,9.91,96.36,2.54,0
 36-46,0,0,0,0.71,0,11.32,0,0,0,15.83,0,0,0,0,0.79,7.4,2.79,113.18,0,0,0,0,0,0.76,0,0,0.58,0,19.63,2.24,0
 48-58,0,0,0,0,0,7.66,0.38,0,0,27.04,0,12.9,0.55,0.48,0,5.2,1.36,50.56,0,0,0,0,0,9.58,0,0,0,0,17.25,1.22,0
 60-70,0,0,0,3.95,0,6.8,0,0,1.6,20.14,0,0,1.96,0.7,0,0.82,0.67,20.23,1.31,0,0,0,0,0,0,0,0,0,20.23,0.72,0
 72-82,0,0,0,0,0.65,21.43,0,1.4,1.35,8.98,0,0,0,0,0,6.24,0,13.54,0,0,0,0,0.84,0,0,0,0,0,19.64,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,3.54,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,4.59,0,0
 96-106,0,0,0,0.69,0,2.22,0,0,0,1.77,1.31,0.59,0,0,0,3.21,0,29.08,0,0,0,0,0,3.81,0,0,0,0,0,1.01,1.13
108-118,0,0,0,0.55,0.66,0,0,0,0,2.66,0,0,0.69,0,0,1.48,0.59,17.29,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,6.58,2.11,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0
