stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,16.45,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,0,0,9.07,0,3.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.09,0,0,12.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,7.01,0,0,0,0,0
 24-34,0,0,1.38,0,0,0,0,0.81,0,0,0,0,0,1.09,11.97,0,0,0,0,80.97,0,0,0,0,0
 36-46,0,0,0,0,0,0.65,0,1.35,0,0,0,0,0,0,1.64,0,0,0,0,106.27,1.12,0,0,0,0
 48-58,0,0,3.81,0,0,2.65,0,4.89,0,0,5.37,0,0,0.57,7.01,0,0,0,0,167.7,7.38,0,0.5,0,0
 60-70,0,0,14.22,0,0,6.09,0,24.88,0,0,0.64,0,2.05,2.3,17.15,0,0,0,0,526.74,0,0,0,0,0
 72-82,0,0,34.8,0,0,8.59,0,15.65,0,0,1.41,0.93,0,4.77,3.11,0,0.56,0,0,502.38,3.91,2.31,3.48,0,0
 84-94,0,0,72.21,0.98,0,14.33,0,21.97,0,0.8,10.31,0,7.14,8.58,15.19,0,0,0,0,1517.78,5.13,8.73,0,0,0
 96-106,0,0,119.84,4.87,1.07,2.72,5.83,42.59,1.97,3.78,19.38,0,3.39,16.7,22.4,0,0,0,0,1586.21,0,3.75,0.97,0,24.89
108-118,0,0,131.53,0,0,4.75,0,66.94,2.07,7.41,22.41,0,2.91,20.51,21.47,0,0,0,3.27,1293.05,0,7.22,4.83,0,0
120,0,0,105.25,0,2.35,6.93,0,32.81,0,1.32,14.37,0,21.09,33.85,10.76,1.45,0,0,0,1086.69,0,1.89,0,3.69,0
