stage,epidermis,erythrocytes,eye,gut,immune,liver,mesenchyme,mural_cell,neural,periderm,pronephros,taste
 14-21,0,0,0,0,22.71,0,0,0,0,0,0,0
 24-34,0,0,0,0,20.68,0,0,0,3.36,0,0,0
 36-46,0,0,0,0,32.84,0,0,0,2.33,0,0,0
 48-58,0.62,0,1.66,0,49.19,4.18,0,0.51,0,0,4.63,0
 60-70,0,0,0,0,44.88,0,0,0,0,0,5.39,0
 72-82,0,0,1.14,0,92.55,0,0,0,8.38,0,27.55,0
 84-94,0,0,0,0,157.06,3.72,0,0,0,0.88,41.78,2.5
 96-106,0,4.59,2.07,0,136.41,0,3.84,0,11.98,0,23.65,0
108-118,5.68,0,11.97,0.51,114.81,0,2.81,0,5.65,0,10.1,0
120,0,0,0,0,89.51,0,0,0,0,0,9.36,0
