stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,9.61,86.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.45,552.06,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0,0,22.68,0,0,0,0,0
  7-9,46.54,43.46,49.83,0,0,132.12,0,0,0,8.45,0,0,0,0,0,695.29,23.65,0,0,273.71,0,0,12.75,0,0,0
 10-12,0,35.42,10.52,0,4.89,74.16,0,0,0,9.42,0,0,0,0,0,737.76,15.75,0,0,264.43,0,0,8.21,0,0,0
 14-21,0,0,0,17.72,0.81,0,0,28.36,1.08,0,0,0,0,0,0,33.62,0,1.23,1.73,0,0,7.81,29.05,3.03,77.76,0
 24-34,0,0,0,2.4,0,2.17,0,21.5,0,0,0,0,0,2.04,1.96,29.52,0,0.82,4.13,0,0,0,31.3,0.66,45.66,0
 36-46,0,0,0,0.61,0,2.92,2.07,22.2,0,0,0,0,0,1.2,0,34.62,0,3.54,3.55,0,0,0,21.47,0,34.21,0
 48-58,0,0,0,8.98,0,8.23,0,45.66,0,0,0,0,0,5.47,0,7.79,0,9.26,5.31,0,0,0,11.54,0,32.82,0
 60-70,0,0,0,0,0,3.77,0,20.55,0,0,0,0,1.16,3.64,0,21.25,0,7.03,1.86,0,0,0,1.94,0,35.2,0
 72-82,0,0,0,0,0,3.59,0,20.13,0,0,0,0,0,1.12,0,6.99,0,4.79,4.75,0,0,0,0.57,0,6.84,0.71
 84-94,0,0,0,0,0,7.9,0,21.71,0.76,0,0,0,1.79,0,0,7.57,0,13.21,7.78,0,0,0,3.59,0,14.03,0
 96-106,0,0,0,0.98,0,0.7,0,15.5,1.8,0,1.92,0,1.57,0,0,1.74,0,9.49,5.95,0,0,0,3.24,0,7.06,0
108-118,0,0,0,2.04,0,2.35,0,9.51,0,0,0.55,1.03,0.98,0,0,3.28,0,5.18,7.49,0,0,0,3.16,0,6.25,0
120,0,0,3.17,0,0,1.44,0,5.52,0,0,0,1.63,4.72,1.63,0,1.15,0,8.72,3.1,0,0,0,5.04,0,12.58,0
