stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.28,840.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,108.46,1062.47,0,8.02,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,24.67,0,0,0,8.83,0,31.76,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.05,0,0,0,38.14,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,415.88,3.62,0,0,133.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,36.53,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,420.41,3.56,0,0,87.85,0,0,3.78,0,5.34,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,4.84,2.66,0,3.73,0,0,2.49,0,0,0,0,0,0,0,0,0,4.98,0,0,3.47,78.3,0.85,0,0,2.79,0,2.36,1.26,6.48,0,4.33,13.77,0,0,2.14,0,0
 24-34,0,0,0,0,3.52,0,0,9.11,0,0,3.08,1.22,0,1,0,1.39,0,0.75,0,5.38,23.13,0,0,7.86,92.68,1.24,1.04,0,0,0,6.62,0,0,2.03,1.02,17.33,0,0,34.65,0,2.68
 36-46,0,0,0,0,20.79,0,0,15.1,0,0.67,7.21,0.97,0,0,1.84,0.93,0,0.74,0,8.78,8.55,0,1.13,0,81.58,1,0,2.49,0,0,11.16,0,0,0,0,13.07,0,0,29.36,0,5.93
 48-58,0,0,0,0.42,10.18,0,0,29.96,1.38,1.62,14.67,0,0,5.68,4.38,0,0,0,4.41,9.23,29.7,0,0,3.02,104.91,0.4,1.33,0.42,0,0,11.51,0,0,1.65,0,27.98,0,0,11.81,0,23.51
 60-70,0,0,0.89,0,16.85,0,0,34.14,3.16,0,35.04,0.96,0,1.29,15.17,0,0.81,0,6.57,8.29,35.73,0,0,4.62,116.74,3.31,0,0.83,0,0,12.67,0,0,1.59,0,29.11,0.81,0,9.32,0,13.09
 72-82,0,0,0,0,7.09,6.1,0,43.46,1.74,3.3,45.52,1.9,1.04,0.51,5.63,1.19,11.12,0,0,0.6,98.15,3.29,3.25,4.67,117.5,0,1.37,0.82,0,0,5.65,0,0,5.12,0,14.55,0,1.98,43.74,0.64,22.62
 84-94,0,0,1.15,0,12.95,0,0,53.69,0.68,1.92,43.95,5.82,0,0.8,16.39,1.48,0.62,2.03,0,17.36,42.63,5.77,0,2.77,83.92,0,0,3.66,0,6.05,26.18,0,0,4.86,0,18.09,0.72,0,31.22,1.35,5.78
 96-106,0,0,0,0,5.88,0,0,46.6,5.48,0.69,29.34,8.05,0,1.62,14.98,4.56,2.24,3.17,0.62,1.45,34.68,6.91,5.48,2.52,82.05,1.49,3.38,2.17,0,0,33.34,0,0,6.88,0,10.73,3.72,1.97,16.93,0.72,7.39
108-118,0,0,0,0,10.27,1.51,3.22,44.54,2.63,1.95,38.21,10.52,0,1.21,8.18,6.24,8.07,0,2.46,6.5,65.92,0,0,2.66,95.34,1.77,0.42,3.24,0,4.16,18.81,0,0,2.6,0,8.82,9.67,0.71,32.52,3.95,11.49
120,0,0,0,0,33.34,2.21,1.03,22.53,6.71,0,85.18,8.84,0,0,26.59,4.57,13.44,0,0,12.73,82.83,1.47,17.45,4.83,131.58,2.33,0,3.34,0,6.17,21.04,0,0,12.48,0,0,7.3,0,17.29,13.59,3.15
