stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,90.81,732.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.55,0,0,0,0,0,0,0,0,0
  5-6,85.79,1032.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98,0,0,0,8.65,0,22.66,0,0,0,0,0,0,0,0,0
  7-9,6.45,9.68,0,17.05,0,0,0,65.12,0,0,0,0,0,20.78,0,0,0,0,0,0,0,0,0,0,0,380.25,7.84,0,0,106.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.07,0,30.22,0,0,0,109.25,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,704.71,0,0,0,191.83,0,0,0,52.86,12.1,0,0,0,0,0,0
 14-21,0,0,0,1.61,73.26,16.56,0,11.05,0,0,0,9.83,2.64,0,0,3,1.5,0,0,0,1.08,31.89,0,0,24.83,131.11,0,5.27,8.26,8.07,0,4.61,23.74,8.17,11.19,76.12,0,0,0,0,0
 24-34,0,0,2.17,4.12,60.12,0,0,52.33,0.91,0.62,0,10.94,3.27,0,6.5,9.02,1.6,0,0.72,2.87,1.61,138.49,4.85,0.81,34.13,374.15,6.21,12.43,9.14,0,0,33.77,0,7.13,1.55,98.56,0,0,11.01,0,13.98
 36-46,0,0,0,0.87,53.4,0,0,33.92,0,1.75,6.7,17.88,1.17,0,0,5.39,13.14,0,0,4.53,1.61,84.15,0,3.05,7.68,592.17,0,8,0,0,0,27.45,0,17.89,0,142.44,0,0,3.38,0,3.91
 48-58,0,0,0,0.83,56.88,0,0,97.62,0,8.63,5.9,37.62,24.4,4.32,8.45,22.62,1.3,8.16,5.87,10.92,34.44,209.98,5.15,45.99,24.54,909.91,10.88,6.03,7.07,0,5.89,7.18,0,1.9,0,135.43,0,0,2.37,2.8,15.27
 60-70,0,0,4.68,0,55.22,0,0,175.59,0,14.79,4.36,11.58,8.96,0,1.67,7.88,6.34,7.73,3.4,3.92,6.89,91.02,0,7.48,10.51,1031.51,0,11.39,0,0,2.26,14.42,0,6.58,0,140.27,0,8.11,0,0,29.34
 72-82,0,0,1.71,0,29.47,3.19,0,145.83,0.9,6.51,13.81,36.42,12.12,0,2.75,15.79,2.16,11,0.64,0.62,8.86,124.98,0,8.61,18.93,704.65,0,7.65,1.26,0,1.25,0.49,0,0,0,104.72,0,4.16,6.61,7.11,10.14
 84-94,0,0,0,0,38.42,0.86,2.55,161.22,9.63,1.65,16.87,33.55,14.74,0,1,21.15,14.62,0.62,0,4.48,20.97,99.21,0,23.52,10.68,563,0,9.59,3.03,0,1.59,15.31,0,0,0,82.26,0,2.3,7.75,14.03,10.36
 96-106,0,0,2.2,0,35.92,3.65,0.67,153.52,2.43,9.64,11.34,26.79,2.38,0,1.02,47.55,3.67,3.83,0.78,10.62,8.57,79.49,1.49,7.53,0.56,358.65,0,6.69,0.91,0,7.9,4.1,0,1.28,0,24.58,1.17,1.48,2.14,24.07,11.86
108-118,0,0,1.64,0,25.9,0.42,3.41,149.08,0.68,12.89,15.85,22.62,15.71,0,0.8,23.32,6.85,10.58,0.51,1.94,13.56,94.42,2.81,8.05,10.57,512.23,0,5.61,4,0,1.14,3.65,0,0,0,49.53,1.36,1.53,13.16,9.43,24.15
120,0,0,3.9,0,41.7,3.8,5.76,99.33,0,13.49,28.92,38.61,11.67,0,0,55.97,1.05,4.71,5.71,0,0,87.84,0,2.47,22.78,696.75,0,1.27,2.87,0,0,15.17,0,2.39,0,75.39,1.1,8.19,25.28,62.03,2.33
