stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,48.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.84,45.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,0,27.05,0,0,11.94,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.11,23.62,0,0,0,0,0,3.15,1.87,0,0,0,0,0,0,0,3.2,1.97,0,0,0,0,1.44,0,3.02,0,0,0,0
 24-34,0,0,0,0.68,67.29,0,0,0,0,0.74,4.64,0.95,0,0,0,0,0,17.55,0,5.88,24.46,1.5,4.15,0,0,2.8,2.37,1.43,0,0,0,0
 36-46,0,0,0,0,51.35,0,0,0,1.88,0,0.76,0,0,0,1,0,0,18.26,0,4.41,22.7,0,0.58,0,0,1.47,0,2.2,0,2.16,0,0
 48-58,0,0,0,0,43.49,0,0,0,0,0,0,0,0,0,0.87,0,0,10.45,0,1.35,38.38,0,3.68,0,1.68,0,0,5.22,0,0,0,0
 60-70,0,0,0,1.27,33.77,0,0.82,0,1.09,0,0,0,0,0,0,1.37,6.38,9.7,0.81,0,59.74,0,20.28,0,0,0.58,0,8.18,0,0,0,2.91
 72-82,0,0,0.71,0.69,83.3,5.07,0,3.99,6.91,0.77,0.59,1.59,0,0,2.49,0,0,8.01,0,0,124.26,6.54,9.09,0,0,1.15,0,3.43,0,0.5,0.77,0
 84-94,0,0,0.74,6.25,106.4,0,0,0,5.06,1.41,0,0,0,0.67,3.67,0,0,7.47,0,0,62.05,0,8.28,0,0,3.84,0,6.97,0,0,0,0
 96-106,0,0,1.56,0,80.13,0,0,0,3.65,0,0,1.87,0.56,0,24.31,19.87,0,6.89,0,0,56.8,0,8.75,0,0,9.51,0,7.3,0,0,0,0
108-118,0,0,1.03,0,107.08,0,0,0.72,2.41,0,0,0,0,1.68,3.66,0.49,0,5.05,0,0,131.29,0,8.89,0,0,8.33,0,2.11,0.88,0,0,0
120,0,0,0,4.71,76.31,5.69,1.22,0,2.42,6.68,0,0,0,0,7.53,0,0,2.73,0,0,146.05,0,13.11,0,0,1.54,0,9.25,0,0,0,0
