stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.75,213.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.74,222.15,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.57,0,0,13.06,0,0,7.31,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,245.04,18.25,0,0,63.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.33,0,9.31,0,11.31,34.31,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,592.33,99.6,0,0,181.64,0,0,6.56,3.57,18.23,0,0,5.09,0,0,0,0,0
 14-21,0,0,1.38,4.85,74.99,10.55,37.21,0,0,6.01,9.58,0.98,0,0,1.52,0.87,0,0,0,93.85,0,0,49.97,426.89,40.6,0,7.2,6.18,0,35.87,0,22.41,1.66,0,11.22,88.1,0,0,6.25,0,0
 24-34,0,0,0,7.24,30.65,0,76.18,3.2,6.21,5.66,7.6,0,16.56,0,0.65,0.64,0,0,0,394.68,0,0,119.71,713.66,48.1,0.76,24.11,0,1.61,55.69,0,0,0,0,3.85,103.26,0,0,32.76,0,0.6
 36-46,0,0,0,0,35.77,0,61.95,1.9,56.41,37.68,0,0,18.13,0,0,0,2.64,3.26,0,811.8,1.22,4.36,125.31,576.43,53.02,1.06,16.44,0,2.1,96.69,0,1.63,0,0,0,106.24,0,0,54.51,0,0
 48-58,0,0,0,1.75,22.73,0,73.81,7.47,57.36,37.57,0,0,6.1,0,0,2.88,0,0.39,6.22,751.96,1.11,13.13,82.16,329.61,32.79,0.86,10.69,0,2.24,61.16,0,0,0,0,0,38.45,0,0,37.32,0,2.17
 60-70,0,0,0,0,16.09,0,81.82,33.42,61.01,32.18,0,0,1.7,0,0,0,0,2.74,0,1056.42,0,7.18,60.68,230.77,25.25,1.02,4.16,0,2.77,109.33,0,0,2.82,0,0,20.37,0,11.13,36.43,1.89,3.96
 72-82,0,0,0,0,9.89,3.17,77.38,10.44,68.49,27.05,1.25,0,8.02,2.2,0,0,1.28,9.19,0,1197.35,0,10.81,56.88,126.47,3.41,8.15,13.37,0,0,56.08,0,0,0,1.06,0,6.02,1.36,7.25,54.58,1.61,10.46
 84-94,0,0,0,0,27.75,5.64,92.38,9.91,60.07,33.74,0.69,0.6,0.79,2.04,1.36,0.9,0.66,0,0.95,968.66,0,15.38,40.7,111.03,18.59,6.42,29.42,0,1.01,159.75,0,0,0,0,0,17.07,0,11,38.95,4.14,3.69
 96-106,0,0,0,0,30.95,3.95,53.78,5.73,40.3,39.46,0,0,6.98,6.35,3.37,1.84,1.26,1.22,7.05,858.82,0.83,3.61,18.76,129.79,5.79,0,21.45,0,0,132.67,0,0,0,0,0,9.01,0,7.14,80.22,8.17,0.89
108-118,0,0,0,0,32.78,5.09,56.21,14.04,77.69,36.1,1.75,0,1.1,2.37,4.88,5.52,1.76,3.57,1.8,955.43,0.42,13.23,28.98,145.87,6.47,0.57,32.5,0,0.86,126.95,0,0,0.85,0,0,15.61,0,3.78,72.52,4.02,3.55
120,2.82,0,0,0,76.17,0,119.46,13.83,51.33,104.38,0,0,7.07,0,4.07,3.19,0,4.16,0,1388.68,7.12,40.31,47.87,147.16,7.24,0,26.46,0,0,131.55,0,0,0,0,0,6,0,2.93,108.94,60.29,0
