stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,25.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,0,0,5.62,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83,0,0,6.61,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0
 24-34,0,11.79,0,1.12,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0,0,0,5.6,0,8.34,0,0
 36-46,0,14.53,0,2.45,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,25.14,0,0,0,0,0,0,4.28,0,9.66,0,3.41
 48-58,0,14.94,0,3.64,1.41,0,0,0,0.71,0,5.07,0,3.59,0,0.52,0,0,0,68.69,0,0.7,0,0,0,2.82,5.76,0,11.3,0,0.98
 60-70,0,14.51,0,23.3,0,0.85,11.93,1.69,6.04,0.69,0,7.43,11.26,0,2.42,0,0,0,267,0.98,2.59,0,0,2.17,0,14.96,0,14.12,1.92,2.86
 72-82,0,12.08,0,82.7,0,0,53.13,6.45,0,0.67,0,0,30.89,0,3.75,0,1.23,3.51,589.63,0,0,0,0,0,0,28.13,0,26.48,3.12,8.9
 84-94,0,35.26,0,27.69,2,0,41.04,7.89,2.44,0,0,0,25.71,0,2.01,0,0,0,337.28,0,0.88,0,0,0,0,15.57,0,10.39,9.64,0
 96-106,0,21.01,4.87,28.18,0.6,0,123.23,7.87,0,0,0,0,65.9,4.79,4.46,1.96,0,1.26,239.91,0,1.03,0,0,0,0,30.52,1.13,6.17,0.74,0
108-118,0,22.6,0,32.7,1.59,0,127.89,2.31,2.16,0,0,0,28.7,0.6,10.39,0,0,2.45,488.8,0,4.42,0,0,1.3,0,17.49,0,23.09,3.47,0
120,0,8.82,0,14.55,0,0,131.23,4,11.36,0,0,0,28.16,0,17.6,0,0,0,365.52,0,0,0,4.76,0,0,19.23,0,4,0,0
