stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,notochord
  5-6,16.87,0,0,0,0,0,0,0
  7-9,0,3.28,0,0,0,0,0,4.41
 10-12,0,0,0,3.81,0,0,10.15,0
 24-34,0,0,3.66,0,1.25,1.48,1.41,0
 36-46,0,0,0,0,0,1.04,5.03,0
 48-58,0,0,0,0.48,0,0.55,0,0
108-118,0,0,0,0,0,0,1.37,0
