stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.09,1112.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0
  5-6,30.65,322.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,15.11,0,0,0,0,0,0,0,0,0
  7-9,0,17.25,0,0,0,0,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.86,31.63,0,0,25.27,0,3.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.54,0,0,0,16.11,0,11.11,4.56,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,7.08,0,0,1.94,0,0,0,0,1.03,0,0,0,0.81,0,0,0,0,1.89,0,0,0,20.2,0.88,0,3.13,0,0,3.32,3.3,0,2.94,2.75,0,0,0,0,0.85
 24-34,0,0,0,0.68,0,0,1.8,0,0,0,0.76,0,0,0,0,0,0,0,0,0,3.73,0,0,1.79,16.47,1.17,0,0,0,0,0,0,1.45,1.27,7.81,0,0,3.69,0,0
 36-46,0,0,0,0.77,1.1,0,3.17,0,0,0,2.49,0,0,1.7,0,0,0,0,0,0,2.97,0,0,0,51.66,0,3.1,0,0,0,1.49,0,0,0,0.72,0,0,3.84,0,0
 48-58,0,0,0,0,0,0,6.78,0.42,0.81,0,2.92,0,0,0.59,0,0,0.64,0,0,0.94,10.76,0.47,0,1.84,14.99,0.4,1.89,0,0,0,0,0,0,0,0.85,0,0,2.96,0,0
 60-70,0,0,0,0.68,2.24,0,8.17,0,0,0,10.06,0,0,0.76,0.79,1.18,0.79,0,8.73,0.93,27.38,0.9,0,1.49,29.7,0,0,0,0,0,0,0,0,0,6.77,0,0,1.66,0,3
 72-82,0,0,0,0.67,24.18,0,20.81,0,0,0.62,24.31,1.99,0,0,0,3.97,4.01,1.05,0,1.02,31.25,2.97,1.17,3.45,27.49,0,1.68,0.54,0,0,0,0,0,0,2.9,0,0.52,10.86,1.19,0
 84-94,0,0,1.01,4.42,2.08,0,10.87,0,0,0,7.29,4.83,0.76,1.83,4.11,8.08,0,0.57,5.06,12.64,25.51,1.03,5.14,4.78,20.25,0,2.88,3.97,0,0,1.25,0,0,0,9.22,0.62,0,13.2,1.17,2.81
 96-106,0,0,0,5.07,101.36,0.97,27.53,0.73,0,4.72,40.35,25.33,0,2.01,7.22,18.9,8.99,0.9,3.1,9.46,44.66,7.63,5.93,9.64,21.91,0,7.76,2.77,0,3.23,5.78,0,0,0,9.79,3.13,1.08,27.62,5.82,6.39
108-118,0,0,0,32.68,32.77,0.55,29.82,1.32,0.97,2.54,48.32,67.73,0,0,10.51,10.36,3.91,1.17,16.9,7.69,53.18,2.71,5.41,2.22,26.46,0,8.81,4.82,0,0.96,1.24,0,1.24,0,1.33,1.69,3.07,18.97,1.99,1.25
120,0,0,0,45.27,32.07,4.06,1.7,0,0,0,58.88,145.11,0,1.17,24.61,9.19,2.22,7.04,3.71,8.73,41.62,4.74,0,0,80.09,0,1.15,0,0,0,11.03,0,1.86,0,0,1.84,0,25.02,27.51,0
