stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.09,1.07,51.01,41.64,0,15.81,0,36.46,0,13.24,0.85,0,0,1.98,0,1.33,3.37,1.05,22.08,0,0,11.07,453.03,11.87,3.31,3.05,3.84,0,1.52,27.95,2.68,0.8,23.51,125.68,0,0,1.12,0,0.98
 24-34,0,2.29,13.25,1.5,0,44.31,0,32.12,0,9,0.71,0,0,53.34,4.08,0,0,0,32.27,3.85,0,15.01,791.52,2.57,12.65,2.26,0,0,6.32,0,6.77,3.99,6.21,168.27,0,0,17.68,0,3
 36-46,0,0,11.86,4.05,0,151.16,5.13,12.4,1.72,9.56,0,0,0,48.11,0,1.45,0,5.18,41.23,0,0.92,10.38,1161.07,0,11.96,1.66,0,0,32.35,0,1.81,0.7,0,284.5,0,0,11.11,0,15.4
 48-58,0.54,0,8.48,0,0,252.95,0.46,7.97,0.37,58.56,0,0.5,0,3.33,0.89,0,3.77,0.54,90.28,0.39,3.21,8.47,1093.73,1.03,4.84,4.05,0,0,19.67,0,0,1.3,0,173.66,0,0,13.65,0,17.05
 60-70,0,0,13.97,1.42,0,380.08,0,0,0.71,40.87,0,0.9,0.95,0,8.99,1.92,0,0,152.19,0,4.46,6.38,965.41,1.33,5.13,1.72,0,0.71,6.31,0,0,0,0,121.33,0,1.56,3.19,3.32,19.82
 72-82,0,0,7.58,6.97,0,370.17,0,2.07,4.97,37.11,0.84,0.89,0.5,2.27,5.31,0,1.08,0,207.44,2.8,8.78,2.82,723.31,0,8.62,2.59,0,0,4.2,0,0.64,0,0,70.68,1.99,1.96,6.96,9.07,19.45
 84-94,0.66,0,8.36,9.33,0,180.71,0,1.15,3.24,20.31,1.01,0,2.24,9.88,4.4,7.08,0,6.93,238.74,0,3.41,12.51,436.47,0.56,0,6.82,0,0,10.05,0,2.71,0,0,57.78,1.68,2.12,11.22,25.55,1.79
 96-106,3.88,0,11.13,28.62,0,222.18,0,0.68,8.04,49.48,6.83,4.37,3.22,4.68,3.15,0.61,1.54,0,228.15,0.65,4.19,7.13,447.11,0.68,17.57,11.77,0,3.05,13.27,0,3.09,0,0,16.46,0.67,5.02,15.44,48.19,9.95
108-118,0,0,26.95,15.77,0.47,247.53,0.64,4.52,5.3,43.07,3.47,0.69,3.16,10.48,6.51,1.44,0.63,4.23,194.71,0,12.16,8.24,600.47,0.87,17.15,0.76,0,2.15,4.58,0,1.86,0.53,0,23.27,4.33,0,10.78,49.89,13.95
120,0,0,16.5,9.95,0,117.06,0,0,6.63,11.81,1.85,0,6.96,5.23,0,2.12,0,0,259.47,4.12,0,3.41,495.89,3.39,0,6.47,0,3.42,7.47,0,2.61,1.32,0,0,0,2.55,8.87,140.93,0
