stage,axial,blastomeres,epidermis,eye,glial,heart,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,0,60.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.85,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.32,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5.13,0,0,0.86,1.32,1.32,0,1.03,0.81
 24-34,0,0,0,0,0,0,0,0,14.21,0,0,0,0,0,0,0,1.39
 36-46,0,0,0,1.37,0,0,0,0,5.75,0.6,0,0,0,0,1.31,0,0.81
 48-58,0,0,0,0.67,1.4,0.5,0,0.78,4.06,0,0,0,0,0,0,0,1.03
 60-70,0,0,1.32,4.69,0,0,0,0.89,0.86,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.59,0,0,0.74,0,3.57,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,13.63,0,1.66,0,0,0,0,0,0
 96-106,0,0,0,5.81,0,0,0,0,6.54,0,0,0,0,0,0,0,1.03
108-118,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0
120,0,0,0,12.88,0,0,0,0,6.13,0,0,0,0,0,0,0,0
