stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,30.27,97.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.21,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,2.97,3.23,0,3.54,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,1.22,0,0,0,34.67,0.83,0,0,0.66,3.06,0.6,7.06,0,0,1.29,0
 36-46,0,0,0,0,1.56,0,0,11.43,0,0,1.19,0,1.66,0,0,0,1.07,2.04,0,0,0,88.82,0,0.72,0,0.64,2.63,10.34,7.29,0,0,6.98,0
 48-58,0,0,0,0,3.83,0,0,17.3,0,0,4.68,0,3.52,2.29,0,0,0,5.31,0,0,0,86.05,0,0,0,14.34,0,0,13.48,0,0,11.88,0
 60-70,0,0,0,0,5.51,0,0,28.31,0,0,0,0,11.08,0.59,0,0,0,6.92,0,0,7.84,52.07,0,0,0,57.17,1.28,0,9.41,0,0,6.83,0
 72-82,0,0,0,0,11.59,0,0,51.46,0,1.12,0.7,1.61,20.31,1.6,0,0,1.65,5.63,4.63,0,1.51,147.58,10.94,1.36,0,127.69,0,0,2.89,0,0,17,0
 84-94,0,0,0,0,16.8,1.59,0,46.61,4.03,0,2.62,2.79,43.89,5.43,0,0.9,1.67,5.22,3.62,0,0,87.35,0.8,0,0,474.47,0,0,5.5,0,1.67,19.48,0.77
 96-106,0,0,0.88,0,43.02,0.68,0,60.5,5.16,0,2.65,8.05,41.11,13.64,1.5,0.59,4.55,9.01,4.99,2.04,0,80.63,5.29,2.45,0,690.22,3.6,0,1.76,0.61,0,26.39,0
108-118,0,0,0,0,36.1,0,3.75,49.28,7.36,0,7.56,13.66,31.72,23.25,0,0.81,4.75,12.35,9.64,0,0,111.26,4.53,0.49,0,671.34,0.79,0.47,0,3.15,0,24.11,0
120,2.37,0,0,0,49.54,0,0,34.48,11.06,0,0,23.2,62.9,28.7,0,2.12,0,21.05,8.16,0,0,109.06,3.09,0,0,529.33,3.83,2.91,0,0,0,23.98,0
