stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,55.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,46.57,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,77.69,0,0,0,20.65,0,0,0,0,0,0,0,0,0
 10-12,3.1,0,4.25,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.76,0,0,0,31.87,0,0,5.97,0,0,0,0,0,0
 14-21,0,0,0,0.88,0.82,0,2.2,0,0,1.92,0,0,0,0,12.85,0,0,0,1.73,0.99,0,0,41.39,0,0,0,1.21,1.21,2.77,0,4.54,12.9,0,0,0,0
 24-34,0,0,0,0,0,0,6.89,0.71,0,0.63,1.28,0,0,0,12.44,0,0,0,0,0.88,0,0,141.35,0.59,0,0,0,0,0,0,0.67,5.2,0,0,0,0
 36-46,0,0,0,0,0,0,0.82,0,0,1.8,0,0,0,0,0.99,0,0,0,2.1,0,0,0,258.28,0,0,0,0,1.93,0,0,0,27.72,0,0,0,0
 48-58,0,0,0,4.93,0,0,37.51,0,0,10.04,0,0,0,0.96,13.72,0,0,0,6.5,0,0,0.44,375.41,0,0,0,0,0,0,0,0,14.55,0,0.86,0,1.61
 60-70,0,0,0.68,1.54,0,0,106.84,0,0,37.18,0,0,0,0,0,0,0,0,4.27,1.53,0,1.94,818.72,0,0,0,0,0,0,0,0,37.73,0,0,0,4.5
 72-82,0,0,0,16.78,8.43,0,213.94,0,0,54.22,0.93,0,2.13,0.72,1.38,0.73,0.55,0,6.15,0,0,0.57,1025.41,0,1.19,1.02,0,0.86,0,0,0,19.61,0.71,6.27,0,10.32
 84-94,0,0,0,15.47,0,0.56,149.6,0,0,46.53,1.6,0,0,0.69,4.88,0,0,0,7.59,0,2.67,2.93,661.96,0,8.37,0,0,8.01,0,0,0,20.04,0,2.89,0,6.59
 96-106,0,0,0,46.37,4.48,0.77,204.09,0,2.38,54.07,9.28,0,0,1.48,2.49,0,0,0,31.59,0,1.41,0,820.32,0,1.35,3.03,0,0,0,0,0,20.62,0.82,0,0.61,17.74
108-118,0,1.82,0.99,45.55,1.12,0,178.18,0,0,85.91,0.55,0,0,0,5.12,2.36,0,1.1,29.02,0.53,0,0.51,1285.5,0,5.95,1.71,0,0,0,0,0,18.81,1.01,3.3,0,0
120,0,0,0,49.28,0,0,168.04,2.43,0,88.98,4.49,0,0,0,0,0,0,0,18.06,0,0,0,1762.84,0,3.09,1.12,0,3.36,0,0,0,22.42,0,0,0,0
