stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.02,1.14,0,0.99,0.82,0,2.07,0.82,0,0,0,0,0,0,0.97,0,0,0,0,0,10.36,0,0,4.58,0,0,0,1.93,0,4.37,0.9,0,0,0.98,0,0
 24-34,0,0,0,0,0,2.2,0,0,2.53,0,0,0,0,0,0,0,0,0,8.37,0,0,2.2,14.66,0.97,0,1.37,0.99,5.98,0,0,0,0,2.97,0,0,0,0,0
 36-46,0,0,2.21,0,0,1.34,1.15,0,0.62,0,0,0,0,0,0,0,0,1.14,5.97,0,0,8.8,18.19,0.58,0,0.58,0,1.26,0.91,0,0,0,3.47,0,0,0,0,0
 48-58,0,0,0,0,0,2.11,0,0,8.28,0,2.55,0.83,0,0,0,0,0,0,8.21,0.41,0,0,28.31,0,0,0,0,1.94,0,0,0,0,1.04,0,0,0.39,0,0
 60-70,0,0,0.75,5.62,0,10.24,0,0,4.13,0,9.01,0,4.6,0,0,0,0,0,23.22,0,0,0,8.31,0,0,1.03,0,0.68,0,0,0,0,10.25,0,0,0,0,0
 72-82,0,0,2.43,7.61,0,11.13,0,1.01,5.71,0.81,0.5,0,0,0,0,0,0,0,25.61,1.79,0,2.14,24.27,0,0,4.95,0,0,0,0,0,0,0,0,0,9.52,0.73,4.87
 84-94,0,1.29,3.59,8,0,12.99,0,0,12.24,0,0,0,0,0,0,0,0,0,9.17,1.19,0,0,6.13,0,8.48,11.17,0,21.05,0,0,0,0,2.11,0.6,0,0,0.75,1.57
 96-106,0,0,1.16,16.72,0,6.39,0,0,10.55,0,0,0,2.1,0.69,3.3,1.3,0,1.15,23.52,4.73,0,0,11.98,0,0,2.98,0,23.93,0,0,0,0,2.78,0,1.16,3.8,0,0
108-118,0,0,6.31,12.85,5.94,17.39,2.91,0.48,41.32,0,0,0,1.72,2.53,2.72,7.03,0,1.99,31.46,0,2.06,1.34,10.59,0,2.53,1.7,1.63,14.55,0,0,0.42,0,0,0,0,1.91,3.63,4.2
120,0,0,19.59,14.87,0,3.45,0,3.49,3.24,0,0,0,2.91,0,0,0,0,0,39.72,1.15,3.7,0,17.28,0,0,0,0,27.18,0,0,0,0,0,0,0,0,0,8.51
