stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,29.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,6.52,0,0,0,25.04,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1949.69,0,0,0,0,0,0,0,0,0,0,0.86,297.59,0,0,0,0,0,18.6,0,0,0,0,0,0,0
 72-82,0,0,8.96,1.64,0,111.71,0,0,0,12108.92,0,0,0,0,0,4.55,0,49.79,3.17,0,0,89.7,0,1.33,0.97,1.1,0,0,0,3.82,4.21,3.36,2.32,2.34,7.54
 84-94,0,0,9.48,8.67,0,164.7,4.89,0.93,0,10568.85,0,0.78,2.77,0,0,0,1.18,85.27,0,0,3.02,185.39,0,0,0,0,1.26,0,2.53,15.42,0,1.23,1.08,0,0
 96-106,0,0,94.69,11.29,0,455.59,0,8.62,6.62,26216.6,19.86,0,9.5,0.66,3.46,2.82,640.02,111,2.42,0,42.44,1328.87,0,3.57,36.26,0,55.34,0,0,691.09,0,0,9.11,2.8,0
108-118,0,0.62,5.55,8.62,2.27,128.22,0,0,0.45,27258.07,0.58,0,2.82,0,7.35,0.78,0,206.52,0,5.38,1.7,846.44,0,1.88,0.91,0,20.33,0,0,15.69,3.65,2.42,10.5,1.97,3.78
120,0,0,11.09,10.17,0,201.68,0,5.81,55.9,25306.54,0,0,2.29,4.02,0,2.12,90.75,211.45,0,0,6.46,540.79,7.11,0,0,0,21.5,0,0,69.4,0,5.64,27.57,0,0
