stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,15.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.21,0,0,0,0,0,0,0,0,0,0,0,35.97,13.31,0,0,0,0,0,0,0
 14-21,0,0.96,1.85,0.92,0,0,11.41,0,0,0.81,0,11.28,23.28,0,0,1.02,6.3,50.93,0,0,0
 24-34,0,1.29,4.57,0,0,0,12.61,0,0,5.42,0,1.3,73.49,0,0,0,0,64.76,0,0,0
 36-46,0,0,0,0,0,0,9.76,0,0,4.83,0.8,2.2,74.17,0,0,0,0,18.44,0,0,0
 48-58,0,0,1.2,0,1.62,1.55,2.36,0,0,5.94,0,0.41,32.3,0,0,0,0,21.06,0,1.63,0
 60-70,0,0,0.8,0,4.45,0,3.81,0,0.81,11.04,0.69,0.72,31.46,0,0,0,0,10.52,0,1.03,0
 72-82,0,0,2.47,0,1.76,0,2.66,0,0,14.86,3.24,2.21,16.45,0,0,0,0,8.02,0,0,0
 84-94,0,0,0.72,0,5.24,0,1.45,0,0,12.62,0,2.58,19.08,0,0,0,0,4.98,0,0,1.07
 96-106,0,0,0,0,0,1.06,1.81,0,0,11.36,0,0,18.98,0,1.54,0,0,5.95,0,0,0
108-118,0,0,1.64,0,1.48,0,3.2,0.43,0,9.32,0,0.78,33.96,0,0,0,0,13.91,0.67,0,0
120,0,0,0,0,5.97,0,0,1.33,0,16.25,0,0,25.17,0,0,0,0,0,0,1.09,0
