stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,62.16,5.33,0,1.27,0,2.93,0,0,0,1.07,0,0,0,0,0,1.12,0,0,0,32.35,0,0.98,0,0,7.06,14.18,0,0,0.94,12.85,0,0,0,0,0
 24-34,0,142.99,0,0,1.12,0,10.96,0,1.24,0.64,0.67,0,0,1.37,0,0,1.86,2.14,0,0.75,260.59,0.97,13.93,0,0,1.44,0,0.65,0,2.62,51.91,0,0,0,0,0
 36-46,0,71.85,0,0,11.7,0,12.68,0,3.71,0,3.15,0,0,1.38,0,0,4.38,0.67,0,0.6,499.54,0.64,8.19,0,0,3.92,0,0,0,0,107.9,0,0,3.14,0,0
 48-58,0,67.86,0,0,43.83,0.39,8.3,0,6.05,0,0.59,0,0,0.95,0,5.64,6.87,4.29,0,4.47,716.09,0,6.39,6.08,0,3.02,0,0.57,0.4,0,113.36,0,0,1.65,0,0
 60-70,0,76.67,0,0,173.79,0,13.98,0,26.83,0,9.72,0,0,0.59,9.12,2.53,27,0.62,0,0.77,1295.34,0,11.38,0,2.78,1.52,0,0,0,0,132.66,0,0,4.65,0,0
 72-82,0,40.13,10.03,0,258.25,0,9.84,0.75,14.57,0.81,18.4,0,0.53,3.92,0.64,0,19.74,1.14,0,0,1381.19,0,18.06,1.48,0,3.33,0,1.24,0,0,66.8,4.61,5.57,37.37,0.59,28.84
 84-94,0,81.1,15.5,0,234.42,0,9.52,1.67,19.52,1.46,5.66,0,2.19,3.69,0.6,0,26.79,0.71,1.97,2.7,985.2,0,7.98,0.59,8.48,4.28,0,1.82,0,0,47.8,17.81,3.43,49.4,5.36,0
 96-106,0.81,51.94,2.41,0,266.44,0,3.41,0,16.85,3.42,17.12,0,0,12.67,15.08,0,34.06,2.28,0,0,947.41,0,10.23,1.96,18.66,5.21,0,3.18,1.07,0,23.43,28.46,8.7,66.21,7.48,10.31
108-118,0.64,80.96,4.04,0.5,206.36,0,8.28,2.28,15.21,4.29,14.86,0.59,0.45,3.76,5.64,0,30.57,0,3.87,4.54,1133.46,0.47,9.11,0,10.47,4.47,0,7.24,0,0,25.84,13.75,10.8,67.29,1.36,0
120,0,59.79,11.43,0,236.92,0,17.35,1.82,44.4,5.32,11.57,0,1.01,9.82,0,0,17.65,0,17.24,0,1754.11,0,8.08,7.72,0,2.32,0,4.83,0,0,53.03,11.17,36.75,181.27,0,0
