stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.28,27.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,4.5,0,0,44.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.53,4.75,0,0,108.01,0,0,4.75,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.2,1.34,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.39,1.93,0,0,0,0,0,15.56,0,1.21,1.25,0,0,0,0,0
 24-34,0,0,0,0.79,1.92,0,0,5.18,0,0,0,2.25,0,0,0,0,0,0,0,0,18.15,0,2.45,273.75,0,23.08,0,0,0,0,0,0,0,45.79,0,0,1.72,0,5.35
 36-46,0,0,0,0,4.9,0,0,40.83,0,0,0,3.24,0,0,0,0,0,0,0,1.14,47.78,1.34,4.43,959.21,0,19.23,0,0,0,0,0,0,0,78.44,0,0,0.91,0,0
 48-58,0,0,0,0,7.75,0,0,195.56,0,3.45,1.73,27.61,0,0,0,0,0,0,1.47,0,35.55,0,5.45,1784.89,0,15.86,0.52,0,0,0,0,0,0,94.76,0,0,1.35,0,4.53
 60-70,0,0,0.62,0,11.41,0,0,821.96,0,0,0,41.71,0,0,0,0,0,0,5.21,0,63.04,0,2.95,3144.69,0,13.98,11.47,0,0.66,6.39,0,0,0,123.81,0,1.42,0,1.25,2.59
 72-82,0,0,0,0,9.17,7.02,0,1735.55,0,0,0.82,113.98,0.88,0,0.59,0,0,0,0,0,59.26,1.26,1.1,3693.97,0,20.5,2.62,0,0,11.17,0,0,0,143.57,1.88,0,2.76,0.7,0
 84-94,0,0,0,0,29.86,8.82,0,1349.34,0.91,0,0,78.63,0,0,0.65,0.77,0.7,0,0,0,46.47,7.22,8.2,2721.97,0,8.27,3.77,0,0,8.05,0,1.46,0,121.91,0.9,1.47,0.78,2.8,0
 96-106,0,0,0.81,0,30.33,0,0.98,2004.69,0.79,0,0,65.16,0.75,0,1.87,0.66,0.75,1.7,29.82,0,34.2,2.93,8.54,2504.64,0.75,9.19,3.66,0,0,11.73,0,0,0,58.9,0,0,6.4,0.96,0
108-118,0,0,0,0,7.66,0.88,6.08,1403.34,0,4.61,0.73,68.12,0,0.88,1.22,0,1.01,0,5.66,0,45.65,0,5.41,2452.49,0.46,4.24,3.56,0,1.05,2.08,0,3.47,0,37.68,1.18,1,3.88,0,7.62
120,0,0,0,0,21.95,0,0,1124.62,0,0,0,139.31,1.17,0,6.89,0,0,2.98,0,0,51.36,13.09,1.27,5122.8,5.26,7.82,2.82,0,2.63,1.69,0,0,0,59.61,0,7.48,8.01,8.42,0
