stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.69,148.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,155.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.42,0,0,7.19,0,0,7.89,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,80.17,0,0,0,23.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.18,0,0,0,0,0,10.64,0,0,0,0,0,0,0,0,0,0,0,106.26,0,0,0,81.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.25,26.91,10.31,20.03,0,0,0,11.77,2.07,0,0,0,1.35,0,0,0,0,21.4,0,0,27.82,327.36,6.26,3.47,2.12,3.49,0,0.97,25.93,0,1.63,45.39,95.11,0,0,2.4,0,0
 24-34,0,0,0,2.02,6.95,0.76,64.94,0,1.89,0,15.46,0,0,1.83,0.64,2.12,0.7,0,0.96,0,57.89,0,1.21,57.03,636.63,5.8,1.76,3.14,0,0,26.29,0,0,0,12.09,114.21,0,0,14.86,0,0
 36-46,0,0,0,0,4.08,0,84.31,0,0,0.57,26.47,0,0,0,3.92,0,0,0,0,5.81,49.91,0,0.86,20.45,350.22,0,0,2.26,0,0,14.66,0,0,0,0,74.54,0,0,13.66,0,0
 48-58,0,0,0,0,2.23,0,93.89,0,0,0,27.7,0.92,0,2.08,0,0,0,0,0,0.56,47.81,0,0.99,6,161.14,0,0,1.06,0,0.61,4.61,0,1.07,0,0,32.05,0,0,2.8,0,0
 60-70,0,0,0.89,0,3.34,2.46,47.07,0.62,1.24,0.81,17.51,0,0,1.55,2.33,0,0,0,0,2.31,37.52,0,2.89,2.53,78.22,4.5,0,0,0,2.07,9.12,0,7.12,0,0,7.08,0,0.9,1.79,0,0
 72-82,0,0,0,0,0,0.52,24.46,0,0,3.03,20.32,4.83,0,0,0,0,1.24,0,0,0,37.33,0,0,2.48,53.3,0,0,3.93,0,0,5.49,0,0,0,0,8.93,0,1.08,1.39,0,0
 84-94,0,0,0,0,2.75,0,35.8,0,0,0.65,16.1,2.29,1.63,1.57,0,2.4,0,0,0.96,7.02,56.18,0,6.65,8.63,63.11,3.69,0,1.46,0,0,5.18,0,0,0,0,16.69,0,2.19,18.78,0,0
 96-106,0,0,0,0,11.55,1.89,14.77,0,0.66,0.84,41.44,0.77,0,0,0.65,0.71,0,1.28,0.62,0,50.43,0,0.76,8.58,72.51,0,3.14,1.57,0,0,18.4,0,0,0,0,3.5,1.66,0,1.35,0,0
108-118,0,0,0,1.72,9.42,0,32.49,0,2.68,1,31.77,2.1,0,0,0,0.44,1.03,5.45,1.5,0.54,57.57,0.98,5.5,8.59,103.89,0,0.89,2.79,0,2.89,3.79,0,0,0,0,1.13,1.41,3.18,1.12,1.35,0
120,0,0,0,0,9.66,0,20.47,0,0,10.19,41.87,1.38,0,0,3.13,0,0,0,0,0,68.29,0,0,6.33,70.01,0,17.39,3.67,0,0,3.12,0,0,0,0,13.06,0,3.05,1.69,0,2.34
