stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.93,2.23,1.03,0,0,0,0,0,0,0,0,0,0.82,0,0,1.68,19.65,0,0,0,0,1.14,0.82,2.83,0,0,0
 24-34,0,0,0,1.66,0,1.09,0,0,0,7.29,0,0,0,0,2.19,0,0,1.98,26.76,0.6,0,0.79,0,0,0.67,8.04,0,0,0.77
 36-46,0,0,0,1.64,0,1.42,0,0,0,0,0,0,0,0,5.23,1.19,0,0,10.54,0,0,0,0,0,0,4.31,0,0,6.34
 48-58,0,0,0,0,0,10.11,0,0,0.78,0.41,0,0,0,0,5.51,0,0,0,33.95,0,1.14,0,0,0,0,6.42,0,0,0.86
 60-70,0,0,0,4.24,0,39.7,0,0,0,5.57,0,0,0,0,4.64,0,0,1.87,18.75,0,0,0,0,0,0,0,0,0,1.86
 72-82,0,0,0,1.56,0,71.61,2.22,4.9,4.33,0,0,0,0,0.79,6.68,0.78,0,1.9,26.66,0,1.94,0.58,0.49,0,0,0,0,0.61,0.74
 84-94,0,0,0,0.7,0.58,46.22,1.12,0,0,4.41,1.68,8.12,0,0,4.98,0,0,0.67,20.45,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0.89,0,0.97,0,38.97,2.52,0,2.23,4.89,0.59,0,0,0,7.87,0.68,1.52,2.01,15.51,0,0,0,0,0,0,0,0,0,3.79
108-118,0,0,0,0,0,56.29,0,0.63,0,9.75,0,0,1,0,6.56,0,0,0,13.17,0,0,0,0.93,0,0,0,1.51,0,2.96
120,0,1.37,0,9.13,1.69,44.31,0,7.61,4.21,19.05,0,0,0,9.53,1.7,0,0,2.99,45.62,0,1.77,0,6.3,0,0,0,0,0,18.67
