stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,25.74,36.71,0,0,0,0,0,0,0,0,0,0,9.9,0,0
  5-6,0,14.91,0,0,0,0,0,0,0,7.06,0,0,0,0,0
  7-9,0,0,0,0,0,4.35,0,0,0,11.34,0,3.23,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.21,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0
 24-34,0,0,0,0,0,0.62,0,0,0,30.78,0,0,0,5.11,0
 36-46,0,0,0,0,0,0,0,0,0,147.11,0.92,0,1.16,11.26,0
 48-58,0,0,0,0,0,4.37,0,0,2.28,228.09,0,0,0,10.56,0.77
 60-70,0,0,0,0,0,6.62,0,0,5.67,434.72,1.73,0,0,14.67,0
 72-82,0,0,0,2.6,0,25.7,4.63,0,0,560.35,0,0,0,11.63,0
 84-94,0,0,0,0,0,19.85,3.97,10.9,3.79,394.36,0,0,0.56,19.77,0
 96-106,0,0,3.11,0,0,13.9,0.96,0,2.22,347.16,0,0,0,11.62,0
108-118,0,0,5.13,0,0.77,6.14,5.62,0,2.02,390.16,0,0,0,16.19,0
120,0,0,0,0,0,13.27,0,0,2.7,631.56,0,0,0,12.06,0
