stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,14.69,127.45,32.85,0,55.87,0,0.91,0,8.81,10.61,2.23,0,0,0.86,0,0,17.09,0.87,35.39,0,0,33.91,468.2,77.56,1.58,14.01,8.96,0,82.86,0,44.89,4.42,7.11,80.45,171.22,0,0,4.39,0,3.55
 24-34,0,1.28,4.69,34.54,5.32,0,35.17,0.95,8.48,0,4.81,0,0,0,0.88,3.15,0,4.91,1.85,0,28.04,6.69,0,24.94,484.38,12.35,2.31,10.12,0,0,103.19,0,0,5.4,5.49,7.07,131.7,0,0,40.89,0,0.76
 36-46,0,0,0,55.72,5,0,75.98,0,11.34,2.05,33.11,1.37,0,3.23,0,0.87,0,0.95,0,6.09,78.53,1.85,0,18.04,939.83,9,16.61,6.67,0,0,162.33,0.81,0,17.54,12.26,1.09,207.66,0,0,44.88,0,9.05
 48-58,1.15,0.68,0,6.89,0,0,117.59,0,2.11,3.22,46.85,0.39,2.28,3.37,0,0,0,1.82,0.78,9.11,69.89,0.48,2.46,6.79,675.89,10.18,9.09,3.5,0,0,87.26,0,0,0.74,3.32,0,161.19,0,0,28.39,0,6.71
 60-70,0,0,0,36.14,0,0,251.19,3.74,46.68,4.39,54.43,9.78,0,2.15,4.06,0,1.16,0.7,20.18,2.17,122.05,12.77,2.4,4.15,655.19,10.29,5.93,16.63,0,0.66,115.56,0,0,2.27,0,0,141.49,0,4.5,10.92,0.81,3.99
 72-82,0,1.56,0,14.78,11.36,0,186.97,0,6.26,2.17,36.92,16.99,0,1.79,2.6,1.44,0,1.44,51.75,0,77.5,3.41,1.63,16.03,339.15,0.66,18.69,10.13,0,0,160.14,4.96,0,2.43,0,0,62.55,1.85,1.2,18.41,1.02,4.75
 84-94,0,8.47,0.89,90.47,130.22,3.9,582.5,4.41,52.13,9.96,122.97,45.83,5.71,15.05,4.89,14.26,2.94,21.74,151.91,63.26,223.76,17.25,16.2,15.37,1382.76,7.48,28.84,15.64,0,5.06,887.02,1.4,0,19.06,6.57,0,120.17,14.4,13.19,93.41,11.62,26.19
 96-106,0,10.65,0,50.5,63.83,2.3,325.99,4.54,41.53,2.46,149.19,69.8,3.7,0,5.11,11.82,8.87,21.42,389.57,0,178.6,36.17,12.48,10.83,533.78,9.63,16.7,27.3,0,8.9,1013.7,0.85,0,5.04,3.38,0,25.83,10,6.34,111.41,11.16,17.64
108-118,0,13.87,2.33,194.77,42.59,69.86,619.4,4.5,68.26,6.42,193.64,106.5,5.48,9.52,13.1,32.5,27.24,18.97,667.73,53.17,208.42,48.96,7.14,31.09,1047.08,8.15,41.92,44.9,0,9.82,958.21,0,0,18.68,10.82,0,87.77,68.6,2.19,72.54,4.67,46.48
120,0,1.37,3.17,68.02,16.78,12.19,198.37,1.72,26.11,10.57,119.42,60.51,0,18.8,11.09,7.12,2.83,11.54,254.58,1.79,93.56,1.16,0,4.39,312.08,7.19,3.95,31.01,0,9.21,206.79,0,0,6.25,0,0,0,1.84,9.46,29.6,0,3.6
