stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,114.98,8.3,0,0,42.92,0,0,0,0,7.35,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,0,6.29,0,9.83,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,109.59,2.07,0,0,4.97,0,13.23,0,3.87,0,0,2.04,48.4,0,0,0,0,0
 24-34,0,0,0,0,7.93,0,8.19,0,0.82,0,10.88,0,0,0,0,0,0,0,0,0,0,0,253.31,0,0,0,0,0,0,0,0,0,1.15,2.14,45.69,0,0,0,0,0
 36-46,0,0,0,0,1.07,0,8.74,0,1.39,0,3.03,0,1.91,0,0,0,0,0,0,0,0,0,415.69,0,1.03,0.57,0,0,0,0,0,0,0,0,22.87,0,0,1.02,0,0
 48-58,0,0,0.46,0,0,0,85.93,0.58,0,3.5,5.66,0,0.82,0,0,0,0,0,6.93,5.27,0,0.42,746.55,0,0,3.43,0,0,0,0,0,0,0,0,18.67,0,0,0,0,6.14
 60-70,0,0,0.91,0,0.59,0,306.84,0,0,0.86,18.85,0,0,0,0,0,0,0,0,14.53,10.76,0,1180.98,0.75,0,7.88,0,0,0,0,0,0,0,0,21.46,0,0,2.08,0,6.89
 72-82,0,0,0.64,0,6.03,4.13,654.05,0,0,2.61,32.68,1.58,0,0,0,0,0,0,0,36.34,1.28,1.31,2054.87,0,0.97,7.7,0,0,3.57,1.65,0,0,0,0,28.17,11.94,3.18,3.57,1.44,1.94
 84-94,0,0,1.14,0,17.42,3.58,441.67,0,0.59,2.24,19.16,0.93,0,0,0,0,0,0,0,23.46,0,0,1363.25,0.65,1.89,4.82,0,0,0.95,0,0,0,0,0,38.22,0,2.12,2.01,0,18.33
 96-106,0,0,0,0,9.83,10.06,344.42,0,0.68,1.21,39.45,0,0,1.28,0.59,2.22,0.75,0,0,40.72,0,0.65,1305.96,0.73,0.59,12.77,0,0,0,0,0,0,0,0,31.65,0,1.26,2.2,0.66,0
108-118,0,0,0,0,11.51,0,281.7,0,0,0,14.75,4.56,0,0,0,2.31,0,0,0,19.07,0,1.95,1552.8,2.7,1.1,2.72,0,0,1.99,0,0,0.59,0,0,18.47,0,0,7.7,0.44,0
120,0,0,0,0,17.88,0,256.49,7.84,0,0,42.62,0,0,0,0,0,0,0,0,15.45,0,1.9,1778.99,2.55,0,1.86,0,1.79,1.43,0,0,0,0,0,16.78,0,0,0,0,0
