stage,eye,glial,neural,periderm,spinal_cord,vasculature
 24-34,0,0,1.37,0,0,0
 36-46,0,0,0.63,0,0,0
 48-58,0.69,0.78,0,0,0,0
 60-70,5.18,0,1.41,0,0,2.54
 72-82,1.76,0,0.94,0,1.14,0
108-118,4.9,0,0,0.75,0,0
