stage,blastomeres,eye,glial,iridophores,mesenchyme,muscle,neural,otic,paraxial_mesoderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,11.14,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.99,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.11,0,0,0,0,0,0
 10-12,0,3.11,0,0,0,0,0,0,6.77,0,0,0,0
 14-21,0,0,0.88,0,0,1.04,6.36,0,0,0,0.82,2.25,0
 24-34,0,0,0,0,0,0,3.09,3.89,0,0,0,0.61,0
 36-46,0,0.65,0,0,0,0,2.94,0,0,0,0,1.33,0
 48-58,0,1.9,0,0,0.66,0,1.9,2.04,0,0,0,2.54,0
 60-70,0,0,0,0,0,0,3.42,2.78,0,2.41,0,3.07,0
 72-82,0,0,0,0,1.88,0,11.78,15.23,0,0,0,0,0
 84-94,0,0.81,0,0,0.72,0,7.49,12.52,0,0,0,0,0.68
 96-106,0,0,0,0,0,0,0.83,10.43,0,0,0,0,0
108-118,0,0,0.94,0,0,0,0,16.91,0,0.43,0,0,0
120,0,0,0,6.01,0,0,0,11.23,0,0,0,0,0
