stage,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm
  5-6,21.32,0,0,0,0,0,0
  7-9,0,8.13,19.96,14.93,137.58,3.33,14.74
 10-12,0,0,0,0,28.41,0,23.8
