stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.73,0,0,0,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,50.91,4.52,0,3.24,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.61,0,0,11.94,0,6.41,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,5.11,0,0,0,0,0,0,0,1.85,0.99,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,1.09,0,0.81,0,0,32.9,1.26,0,0,3.53,0,0,0,0.9,1.44,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0.81,0,0,0,6.89,0,0,16.39,0,0,0,1.46,0,0,0,0,10.36,0,0,0,0,1.9
 48-58,0,0,0,0,0,0,8.61,0.39,0,0,1.96,0,0,2.06,0,0,0,0.38,0.49,1.1,25.75,5.1,0.9,0,6.36,0,0,1.36,0,5.67,0,0,0,0,4.66
 60-70,0,0,0,4.27,0,0,10.16,0,0,0,2.49,0.97,1.5,0,0,0,0,5.56,0,0,23.83,0.75,0.83,0,0,0,0,0,0,0,0,0,0,0,0.77
 72-82,0,0,0,0,0,0,22.08,0,0.99,0,4.03,0,0,0,0,0,0,7.8,0,0.69,18.64,3.73,0,0,0.53,0,0,0,0,2.49,0,1.34,3.27,1.16,0.62
 84-94,0,0,0,11.92,0,0,12.23,0,2.69,5.77,0,0,0,0.67,0,0,0,4.61,0,0,24.28,12.22,2.89,0,5.83,0,0,0,0,0,0.86,0,4.2,0,0
 96-106,0,0.63,0,2.29,0,0,2.69,0,0,0,7.42,0,0,0,0,0,0,20.32,0,0,8.58,0,0,0,2.24,0,0,0,0,0,0,0,0,0.67,0
108-118,0,0,0,0,0,1.78,0.52,0,0,0,2.52,0,0,0.88,0,0,2.47,5.07,0,2.07,19.96,3.37,0,0,4.63,0,0,0,0,0.58,0,0,0,0,0
120,0,0,0,2.94,0,0,11.76,0,0,0,3.86,0,0,0,8.53,0,0,4,0,0,13.5,6.71,0,0,20.41,0,1.47,0,0,12.44,0,6.76,0,0,0
