stage,epidermis,eye,fast_muscle,fin_epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,slow_muscle,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0.91
 24-34,0,0,0,0.72,0,0,0,0,0,0,0,4.06,0.73,1.22,0,0,1.42
 36-46,0,0,0,0,0,0,0,0,0,0.59,0,2.23,0,0,9.64,0,1.29
 48-58,15.77,2.58,0.72,0,1.08,0,0,0,2.82,0,0,4.23,0,0,0,11.42,0.61
 60-70,0,25.39,2.07,0,0,0,0,0,1.61,0,2.21,1.37,0,0,0,0,0
 72-82,0,79.59,7.3,0,1.44,0,0,0,0,0,0.9,11.64,0,0,0,0,4.68
 84-94,0.85,75.6,14.43,0.95,3.04,1.07,0,0,0,0,0,3.93,0,0,2.67,0.66,0
 96-106,0,83.21,35.94,0,5.38,0,0,4.84,0.88,0,4.9,12.61,0,1.86,0,0.88,0
108-118,0,64.68,10,0,0,0,0,0,3.59,0,0,5.73,0,0,0,0.58,0
120,2.48,25.88,35.35,0,0,0,1.17,0,1.41,0,0,20,0,0,1.55,0,0
