stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,31.45,169.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,0,0,0,0,0,0,0,0
  5-6,11.71,81.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.77,0,0,0,22.33,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0,0,10.82,3.53,0,0,0,0,0,0,0,0
 10-12,0,10.84,0,0,0,8.02,0,14.44,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,57.72,0,0,0,19,0,0,16.26,0,0,0,0,0,0
 14-21,0,0,0,0,0,161.24,0,0.96,0,0,0,0,0,0,5.1,11.13,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,3.55,0.9,0,0,3.93,0.84,0,59.02,0
 24-34,0,0,0,0,0,72.61,0,4.54,0,0,0,0,0,0,15.03,39.57,0,0,0,0,0,0,0,0,0.97,37.47,0,6.87,0,0,7.66,0,13.05,0,0.72,7.38,0,511.62,0
 36-46,0,0,0,0,0.91,46.91,0,3.89,0,0,0,0,0,0,6.14,118.86,0,0,0,0,4.14,0,0,0,1.07,57.37,0.63,0.75,0,0,5.51,0,12.55,0,0,1.87,0,279.06,0
 48-58,0,0,0.54,0,0,89.95,0,3.81,0,0,2.5,1.07,1.48,0,21.44,69.58,0.37,0,4.09,0.99,3.22,4.53,0,0.4,0,65.84,0,9,0,0,11.63,0,10.88,0,0,5.85,0,332.18,4.74
 60-70,0.81,0,10.91,0,0,74.82,0,12.13,0,0,0.84,0,8.4,0,17.34,133.38,1.42,0,1.72,0,9.18,5.49,0,0,2.21,33.24,0,6.18,0,0,0,0,1.35,0,0,1.69,0,298.81,0
 72-82,0,0,0,1.12,2.03,354.8,0,9.21,0.79,0,0.6,5.61,40.82,0,21.09,92.1,0,0,5.68,0.77,2.82,28.27,0,0,0,38.11,0,3.17,0.53,0,4.8,0,9.43,0.53,0,0,0,361.67,0
 84-94,0,0,1.26,1.57,5.21,311.9,0,5.39,0,0,0,2.26,135.6,0,26.99,108.89,0,0,0.67,12.1,8.96,23.95,1.13,0,2.99,13.67,0,0.89,0.96,0,5.88,0,19.88,0,0,0,0,337.12,0
 96-106,0,0,2.85,7.5,4.58,575.4,0,25.17,0.57,1.25,0,12.4,184.51,0,23.51,133.53,1.37,0,2.97,18.64,2.05,31.59,0,0,0,77.36,0,5.3,0,0,19.52,0,13.16,0,0,0,1.82,383.66,9.62
108-118,0.45,0,4.39,14.78,3.93,211.28,5.35,17.12,1.18,0.97,3.23,14.48,309.08,0,4.37,123.95,0.87,0.44,2.71,24.65,4.43,14.37,0,0,1.24,48.4,0,1.2,0.56,0,9.9,0,23.64,0,0,4.68,0,333.55,1.95
120,0,0,12.46,16.58,8.94,366.63,5.3,22.19,0,0,0,9.64,179.8,0,42.06,302.23,5.72,0,0,38.88,11.42,24.34,0,10.49,5.65,123.47,0,20.9,0,0,9.67,0,40.08,0,0,0,7.87,652.47,0
