stage,axial,blastomeres,eye,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.98,12.85,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,26.62,8.66,0,0,0
 10-12,0,0,0,0,0,0,34.33,0,0,0,0
 14-21,0,0,0,0,1.36,0,1.39,0,0,0,0
 24-34,0,0,0.63,0.65,0.8,0.76,6.75,0,0,3.18,0
 36-46,0,0,0.89,0,0,1.8,15.02,0,0,3.24,0
 48-58,0,0,0.87,0,0,0,1.06,0,0,0,0
 60-70,0,0,1.64,0,1.24,0,6.25,0,0,0,0
 72-82,0,0,0,0,0,0,1.87,0,0,0,0
 84-94,0,0,2.02,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.6,0,1.29,0,0
108-118,0,0,1.14,0,0.49,0,0,0,0,0,0
120,0,0,11.7,0,0,0,0,0,0,0,15.22
