stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,21.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.75,0,1.56,0,0,0,0,0
 36-46,0,0,0,0,0.79,0,0,0,15.06,0,0,0.71,0,0,0,0
 48-58,0,0,0,1.59,0,0.97,0,0,18.38,0.82,0,0.98,0,0,0,0
 60-70,0,0,0,0.8,0,0,0,0,49.4,0,0,0,0,0,0,0
 72-82,0,0,0,0.69,3.43,1.18,0,0,40.15,0,0,1.83,0,1.37,0,0
 84-94,0,0,1.36,0,11.97,0,0,3.19,40.39,0,0,2.1,0,0,0,0
 96-106,0,0,0,0,0,2.1,0,0,45.66,0,5.45,4.17,0.61,0,0,0
108-118,0,0,3.53,4.95,5.87,0,1.72,0,109.33,0,0,0,0,0,0,2.84
120,0,0,3.06,0,14.66,0,0,0,72.64,0,0,0,0,0,11.83,0
