stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,165.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0
  5-6,10.07,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,75.1,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.18,0,0,0,0,29.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.04,0,0,0,0,0,0,0,46.64,0,0,0,0,0,0,0
 14-21,0,0,0.82,2.48,8.92,10.07,6.88,0,0,7.89,2.73,0,0,0,0,0,0,0,0,3.87,0,8.46,97.67,0.89,8.43,0,2.58,0,0,8.18,103.19,0,0.89,70.14,0,0,0,0
 24-34,0,0,3.12,2.79,3.09,0,4.65,0,0.99,13.21,5.81,0,0,0,0,0,4.75,0,4.59,2.84,0,2.89,179.12,0,21.89,7.25,0,0,0.73,0,34.73,0,6.1,43.27,0,0,0,0
 36-46,0,0,0,0,0,0,48.4,0,0,8.14,0,0,0,0,0.77,0,3.89,0,0,13.88,0,2.76,358.54,2.89,17.8,9.29,0,0,0,0,19.52,0,0,62.75,0,0,0,0
 48-58,0,0,0.54,0,0.44,1.85,64.49,0,0,19.47,0,0,0.77,0,0,0,0,0,0.64,20.51,0,1.98,304.67,0,13.12,5.5,0,0,0,0,9.64,0.45,0,51.69,0,2.25,0,7.46
 60-70,0,0,1.34,0,8.27,0,45.84,0,9.29,14.93,0.61,0,0,0,0,0,0.79,0,0,9.12,0,3.1,176.77,0,13.6,5.08,0,0,0,0,5.62,0,0,22.74,1.62,1.5,0,0
 72-82,0,0,4.73,0,2.35,1.96,70.64,0,1,23.37,8.29,0,0,0,0,0.64,0,0,0,19.73,0,1.92,151.49,0,26.44,6.6,0,4.65,0,0,2.61,0,0,17.68,4.28,2.07,0,0
 84-94,0,0,1.67,0,6.75,0,45.52,0,0,10.85,2.26,0.99,0,2.66,0,0.61,5.62,0,0,15.55,1.68,2.34,113.97,0,14.12,24.08,0,0,0,0,8.72,0,0,12.66,13.13,0,0,0
 96-106,0,0,1.37,0,8.41,0.9,15.4,0,0,9.11,4.03,0,0,0,0,0.76,2.71,0,0,4.56,0,1.95,55.92,0,31.12,27.01,0,0,0,0,4.86,0,0,5.21,30.32,2.9,0,0
108-118,0,0,3.27,0.42,7.75,0.49,42.39,1.42,2.53,26.7,2.07,0,0,3.31,1.42,0.42,0.45,0.45,0,9.35,0,2.1,125.76,0,16.29,21.01,0,0,2.24,0,8.76,0,0,5.67,6.02,0.52,1.76,1.96
120,0,0,0,0,3.3,1.9,38.89,0,0,14.07,0,0,0,1.12,1.63,0,1.88,5,0,0,0,0,93.1,0,20.45,47.86,0,0,0,0,6.23,0,0,31.61,5.64,0,0,0
