stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,81.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.42,32.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,71.17,12.52,0,0,52.44,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,19.51,0,0,0,0,89.37,9.91,0,0,61.95,0,0,0,0,0,0,0
 14-21,0,0,0,5.48,3.95,0,0,0,3.38,1.81,22.07,0.93,0,1.73,4.06,7.27,2.51,3.86,13.87,0,0,0
 24-34,0,0,0,3.92,0,0.92,0,0,4.34,2.63,40.45,0,0.77,0.6,0,0,0,2.34,9.96,0,0.64,2.18
 36-46,0,0,0.85,0,0,0,0,0,3.3,0,7.38,0,0,0.57,0,1.39,0,0,4.44,0,2.3,0
 48-58,0,0,0,0,0,0,0.42,0,1.65,0.42,5.5,0,0,0.39,0,0,0,0,1.28,0,0,0
 60-70,0,0,0,0.71,0,1.53,0,5.12,2.03,0,7.9,0,0,0,0,0,0,0,5.57,0,0,0
 72-82,0,0,0,0,0,0,0,1.18,0.7,0,5.57,0,0,0,0,0,0,0,5.24,0,0.71,0
 84-94,0,0,0,0.77,0,0,0,0,2.73,0,5,0,0,0,0,0,0,0,3.22,0.78,1.69,0
 96-106,0,0,0,0.71,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0
108-118,0,0,2.35,0,0,0,0,1.05,2.13,2.66,4.4,0,0,0,0,0,0,0,0,0,1.06,0
120,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,3.03,0
