stage,endoderm,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,8.1,0,0,0,0,0,0,0,0,0,0,0,0,18.01,3.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.03,0,6.97,0,0,0,0,9.36,0,0,0,0,0,11.09,75.83,0,0,55.16,0,0,0,4.78,0,0,0,0,0
 14-21,0,1.69,3.63,0,0,0,0,0,0,0,8.33,0,33.48,50.64,15.94,0,0,3.06,0,0,7.78,0,97.07,32.81,0,2.73,0
 24-34,0,0,1.95,0,3.82,0,0,0,0,0,48.2,0,56.73,63.24,4.16,0,0,0,0,0,0,0,19.78,23.32,0,0,0
 36-46,0,0,6.98,14.75,21.38,1.49,0,0,2.55,0,43.05,0,30.86,32.59,2.89,0,0.64,0,0,0,0,0,0,6.39,0,12.36,5.2
 48-58,0,2.42,20.81,4.31,17.03,0,0,0,11.29,0,46.16,0,28.31,33.93,1.2,0,0,0,0,0,0,0,0,1.61,0,1.33,0
 60-70,0,0,10.43,0,24.11,0,0,0,3.41,0,57.12,0,30.39,7.2,5.57,0,0,0,1.19,3.19,0,0,0,2.83,0,1.74,7.74
 72-82,0,0,4.47,0,24.92,0,1.31,0,0.83,0.9,80.25,0,31.74,4.64,0,0,0,0,2.17,0,0,0,0,1.55,0,5.49,0
 84-94,0,0,8.53,0,19.43,0,0.58,0,0.56,0,60.96,1.36,25.25,0,0,2.81,4.2,0,2.02,0,0,0,0,2.32,0,1.49,0
 96-106,0,0,5.1,4.65,15.7,0.61,0,0,2.94,0,41.91,1.25,8.72,1.55,0,0,0,0,3.21,0,0,0,0,0,0,1.56,0
108-118,0,0,0,0,28.83,0,0,0,5.83,0,42.97,2.75,6.7,2.62,0,0,0,0,3.82,0,0,0,0,1.9,1.3,1.44,0
120,0,0,2.51,0,18.57,0,0,0,0,0,19.23,1.45,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
