stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73,0,0,3.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.2,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,119.39,0,0,13.16,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,0,1.01,0,0,1.1,0,0,0,0,0,0,8.88,1.07,0,33.41,0,0,0,0,0,0,0,23.32,0,0,1.24,0,0
 24-34,0,0.84,0,0.65,0,6.63,0.62,0,2.9,0,0,0,0,0,0,0,0.72,4.98,133.93,1.36,0.73,0,0,0.88,0,0.67,32.75,0,0,1.74,0,0
 36-46,0,0,0,11.92,0,14.68,0,0,3.1,0,0,0,0,0,0,0,4.43,0.72,309.37,1.13,0,0,0,0.57,0,0,62.34,0,0,4.77,0,0
 48-58,0,0,0,5.72,0,55.63,0,0.43,8.59,0,0,1.43,0,0,0,3.13,3.88,2.02,327.4,0,0,0,0,2.52,0,0,55.28,0,0,5.78,0,3.98
 60-70,0,0,0,0.83,0,203.83,0,0,19.57,0,1.21,0,0,0,0,6.05,11.83,2.17,361.61,1.48,0,0,0,4.35,0,0,67.5,0,0,3.23,0,0
 72-82,0,1.48,0,1.03,0,177.49,0,0,12.93,0.76,0,0,0,1.22,1.04,0,21.29,0,293.76,0,0,0,0,0,0,0,16.37,0,1.26,0.71,0,0
 84-94,0,0.7,0,3.28,0,134.5,0.63,0,23.28,1.12,0,0,2.56,0.68,0,6.59,14.84,3.86,256.96,2.29,0.59,0,0,3.37,0,0,5.22,0,1.64,4.41,0,9.16
 96-106,0,0,0,13.99,0,179.79,0,0,13.62,0,0,0.71,0,1.9,2.75,0.98,6.71,1.84,182.17,0,1.32,0,4.36,0,0,0,2.12,4.84,0.69,0,0.91,0
108-118,0,0,0,3.84,5.27,129.52,0,0,10.89,0,0,0,2.94,0.62,0.45,0,22.95,4.54,247.92,2.79,1.46,0,0,1.09,0.64,0,2.32,0.89,0.89,5.23,0,0
120,0,0,0,3.42,0,62.54,0,11.18,18.81,0,0,0,0,0,12.41,0,18.17,3,395.48,3.86,0,0,0,0,0,0,12.38,0,0,0,5.91,0
