stage,endoderm,erythrocytes,glial,immune,liver,mesenchyme,neural,periderm
  7-9,8.39,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.39,0
 14-21,0,0,0,1.71,0,0,0,0
 24-34,0,0,0,2.98,0,0,0,0
 36-46,0,0,0,0,0,0,9.93,0
 48-58,0,2.78,0,0.82,0,0,3.28,0
 60-70,0,2,1.3,9.68,0,0,2.82,0
 72-82,0,17.33,0,7.31,0,0.83,0,0
 84-94,0,15.65,0,6.8,0,0,0,0
 96-106,0,6.48,0,11.53,4.34,0,0,2.11
108-118,0,12.29,0,7.08,0,0,1.1,0
120,0,6.24,0,1.42,0,0,0,0
