stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,0,0,0,4.49,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.04,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0
 24-34,0,0,0,1.12,0,0,0,0,0,0.8,0,0,0,0.93,0,1.14,0,0,122.97,0,0,0,0,0,4.1,0,0,0,29.32,0,0,10.32,0,0
 36-46,0,0,0,13.88,0,0,0,0,0,0,0,0,0,0,0,6.23,0,0,418.89,0,0.59,0,0,0,0,0,0,0,66.49,0,0,0,0,0
 48-58,0,0,0,22.22,0.67,0,0,8.61,0,0.53,0,0,0,0,0,11.05,0,0,1038.4,0,0,0,0,0,0.39,0,0,0,92.52,0,0,6.64,0,0.63
 60-70,0,2.89,0,46.39,0,0,0,0.71,0,0,4.2,0,3.59,0,1.78,1.58,0,0.75,1830.9,0,1.12,0,0,0,1.37,0,0,0,159.36,0,0.65,7.53,0,3.35
 72-82,0,9.08,0,72.35,0,6.38,0.94,26.31,0,1.83,0,0,0,1.61,0,21.48,0,1.54,3244.09,0,1.1,0,0,0,0,0,0,0,212.33,0,0,24.76,5.75,4.85
 84-94,0,7.02,0.77,116.66,0,0,0,16.73,0,0,1,2.2,0.64,0,0,23.72,0,9.48,2210.99,0,0.95,1.89,0,0,1.84,0,0.56,0,130.33,0,3.63,19.52,2.87,0
 96-106,0,6.64,11.53,109.64,0,0,0,29.04,0.87,0.89,0.77,0,0,0,0,16.46,3.47,0,2296.68,0,1.8,0,0,5.9,3.44,0,0,0,69.76,0,0,15.12,23.48,0
108-118,0.61,12.77,3.54,60.02,0,0,0,22.63,1.45,0,0,1.21,1.01,0,2.28,17.58,0,1.46,2660.32,0,0,11.81,0,0,0.54,0,0,0,57.66,0,0,21.13,10.71,0
120,0,29.96,2.88,127.31,2.29,1.37,0,22.01,0,4.47,0,0,0,0,1.99,49.65,0,0,3731.54,4.01,0,0,0,0,1.07,0,0,1.63,62.77,2.82,0,20.61,2.54,13.4
