stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,1719.42,13923.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5,0,0,0,0,0,0
  5-6,634.29,5496.28,37,0,0,0,0,0,20.64,0,0,0,0,0,0,1237.59,0,0,0,296.3,82.22,0,0,0,0,0,0
  7-9,3.82,92.12,144.3,0,0,0,0,0,52.92,0,0,0,0,0,0,269.88,20.4,0,0,1436.93,0,13.36,0,38.4,0,0,0
 10-12,0,112.01,171.75,0,10.05,0,0,0,9.04,0,0,0,0,0,0,11.64,0,0,0,256.95,0,0,0,544.11,0,0,0
 14-21,0,0,0,2.21,1292.94,2.36,0,0,0,1.66,7.92,0,5.95,0,1,18.17,3.55,0,0.82,8.02,0,0,7.87,4.81,0,14.74,17.14
 24-34,0,0,0,3.17,402.38,0.9,1.23,0,0,0.67,7.1,0,0.68,0.91,0,29.65,0,1.41,0,0,2.95,0,0,0,6.26,10.9,19.91
 36-46,0,0,0,0,25.81,0.63,2.07,2.31,0,0,1.78,0,0.75,0,0,24.89,0,0,0,0,0,0,0,0,0,0,3.96
 48-58,0,0,0,0,22.84,7.31,0,0.49,0,0.4,0,0,0,0,0,35.94,0,0,0,0,0,0,0,0,0,2.46,3.85
 60-70,0,0,0,0,24.61,3.09,0,0,0,0,0,9.95,2.06,0,0,14.43,0,0,0,0,0,0,0,0,0,0,1.48
 72-82,0,0,0,0,52.56,0.79,0,0,0,0,0,0,5.78,0,0,4.75,0,0,0,0,0,0,0,0,0,0,8.72
 84-94,0,0,1.04,0,58.23,2.02,0,8.01,0,0,5.43,0,1.22,0,0,3.3,0,0,0,0,0,0,0,0,0,1.52,6.31
 96-106,0,0,0,0,89.49,1.36,0.58,0,0,0,2.68,0,16.27,0,0,0.69,0,0,0,0,0.76,0,0,0,0,0,3.29
108-118,0,0,0.61,0,80.22,3.55,0,0,0,0,3.44,0,2.47,0,0,26.93,0,0,0,0,0.54,0,0,0,0,0,1.37
120,0,0,0,0,65.15,2.85,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
