stage,blastomeres,eye,glial,gut,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal_cord
  3-4,55.43,0,0,0,0,0,0,0,0,0,0
  5-6,17.09,0,0,0,0,0,0,7.43,0,0,0
 10-12,0,0,0,0,0,0,0,3.57,9.41,0,0
 14-21,0,0,0,0,0.87,0,0.83,0,0,0,0
 24-34,0,0,0,0,0,0,0,5.5,0,0,1.62
 36-46,0,0,0,0,0,0,0,1.52,0,0,0
 48-58,0,0.55,0,0,0,0,0,0.43,0,0,0
 60-70,0,0,0,0,0,0,0,4.19,0,0,0
 72-82,0,1,0,0,0.63,0,0,2.29,0,0.53,0
 84-94,0,1.38,0,0,0,0,0,0,0,0,0
108-118,0,0,0.63,0.43,0.66,0.49,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.17,0
