stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.76,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,1.84,2.04,0,0,0,3.31,0,0,3.5,0,0,0,0,0
 24-34,0,0,2.55,0.8,0,26.18,0,0,0,0,0,0,0.75,0,2.21,0,3.2,0,0,0.72,0,0,0,14.26,0,0,0,0,0,1.79,0,4.12,0,0,5.56,0,3.81
 36-46,0,0,0.64,0,0,102.03,0,0,0,0,0,0,0,0,0,0,0,0,1.49,1.53,0,0,0.84,10.52,1.31,0,0,0.77,7.81,0,0,6.36,0,0,3.1,0,0
 48-58,0,0,0,0,0,681.75,0,0,0,6.27,0,0,0,0,0,0.41,0,0,2.43,4.35,0,0,0,37.66,0,0,0,0,0,0,0,5.83,0,0,4.16,0,0
 60-70,0,0,2.75,0,0,3625.53,0,0,0,6.09,0,0,0.75,0,7.11,9.1,0,0,4.76,10.67,2.41,0,0,83.69,0,0,0,0,2.77,0,0,0,0,0,0,0,4.23
 72-82,0,0,4.14,8.7,0,6815.1,6.1,5.41,0.62,49.3,1.29,9.37,0.73,0,0,0,0,0.59,8.21,68.95,0.92,2.13,5.26,160.11,0,0,2.66,0,13.29,1.62,1.5,21.95,0,0,22.16,2.54,17.09
 84-94,0,0,27.59,5.13,0,10645.7,0,4.53,0.59,17.76,2.82,0,0,0.78,1.36,3.58,1.39,0.74,6.93,65.27,5.77,1.19,1.48,93.43,0,1.79,1.79,0,34.73,0.56,0,5.59,2.24,6.39,8.52,1.2,9.59
 96-106,1.15,0,301.98,23.78,0.97,11528.47,36.92,0,2.63,27.33,2.17,0,0,16.75,1.71,1.89,0.77,42.49,0,89.9,6.26,0,6.18,265.48,0.57,1.79,3.04,1.28,62.89,0,0,3.31,20.45,1.44,17.58,4.62,0
108-118,0,0.74,24.51,15.93,1.31,11872.43,7.84,0.88,13.96,45.54,2.48,0,2.42,5,0.96,11.69,2.6,16.74,1.68,167.92,1.38,2.15,4.29,246.43,3.33,2.83,7.73,4.61,27.83,0,0,4.22,0,3.52,8,1.84,9.2
120,0,0,77.39,8.24,16.53,17347.29,0,35.44,0,71.69,18.81,0,0,1.97,2.56,7.84,80.52,14.96,1.33,118.83,3.7,0,20.46,501.23,0,0,14.64,0,11.12,23.42,0,17.89,0,0,12,7.27,0
