stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,periderm,pronephros,somites,spinal_cord,vasculature
  5-6,8.92,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,8.93,0,0,0
 14-21,0,0,286.96,0.82,0,0,0,0,0,0,2.09,0.83,0,4.98,0,0,2.56,0,3.89,0
 24-34,0,1.07,525.77,0,1.43,52.01,0,0.68,31.71,0,0,93.05,16.29,14.02,0,21.3,0,0.64,1.02,16.42
 36-46,0,0,5.97,0,1.22,4.45,0,0,5.5,5.39,0,48.33,0.56,21.59,0,7.28,0,0,0,0
 48-58,0,0,0.7,0,0,7.13,1.96,0,2.33,0,0,2.92,0,0,0,0.44,0,0,4.67,0
 60-70,0,0,0,0,0,0,10.44,0,0,0,0,0,0,5.46,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.09,0,0,3.53,26.08,0,0,0,0,0,1.03,0,0,0,0,0,0,0
 96-106,0,0,1.39,0,0,0.65,0,0,10.79,0,0,0,0,3.07,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,18.46,0,0,0,0,1.9,0,0,0,0,0,0
