stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.89,0,0,0,8.46,0,0,0,0,0,0,0,0
 10-12,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,5.11,0,0,0,0,0,0,0,0
 14-21,2.6,23.06,2.62,10.06,0,0,4.53,1.58,0.87,0,2.47,0,0,0,0,8.32,0,7.95,105.64,2.82,0,2.45,3.27,0,15.92,0.88,8.54,31.44,0,0,0
 24-34,0,4.95,0.6,13.64,0,0,1.35,0,0,0,1.77,0,0,1.54,0,11.37,0,6.24,164.4,0,0.68,1.64,0,0.72,0,4.31,0.63,35.54,0,4.25,0
 36-46,0,0,0,3.54,0,0,0.64,0,0,0,3.96,0,0,0,0,1.25,8.23,1.27,69.41,0,0.86,0,0,1.5,0,0,0,8.25,0,5.53,0
 48-58,0,0,0,4.03,0,0,1.45,0,0,0.5,5,0,0,0.39,0,2.62,0,0,13.94,0,0.43,0,0,0,0,0,0,1.16,0,0,0
 60-70,0,0,0,3.9,0,0,0,0,0,0,7.57,0,0,0,0,3.16,0,0,9.08,0,0,0,0,0,0,0,0,8,0,0,0
 72-82,0,0,0,13.63,0,0,2.49,0,0,0,15.6,0,0,0,0,1.74,0,0,22.49,0,0,0,0,0,0,0,0,4.53,0,0.93,0
 84-94,0,1.01,0,1,0.66,0,3.89,0,0,0,23.08,1.17,1.91,0,0,8.53,0,1.55,19.84,0,0,0,0,10.75,0,2.73,0,0,4.78,4.18,0
 96-106,0,0,0,21.34,0,0,0,0,0,0,21.06,0,0,1.13,0,4.93,0,0.62,17.18,0,0,0.59,0,0,0,0.64,0,6.4,0,1.16,2.61
108-118,0,0.56,0,6.25,0,0,6.79,0,0,0,34.74,0,0,0,3.65,1.22,0,1.15,23.43,0,0,0,0,1.06,0,0,0,0,0,2.16,0
120,0,0,0,16.71,0,2.28,1.39,0,0,0,28.86,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
